1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 390000007BEC2641
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 10 15:59:01 PDT 2022
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue May 10 15:59:01 PDT 2022
Total Mission Samples:  8192
Total Device Samples:  30886
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/10/22, 3:59:01 PM,C,24.113
5/10/22, 4:29:01 PM,C,23.113
5/10/22, 4:59:01 PM,C,22.612
5/10/22, 5:29:01 PM,C,21.111
5/10/22, 5:59:01 PM,C,21.612
5/10/22, 6:29:01 PM,C,21.111
5/10/22, 6:59:01 PM,C,21.111
5/10/22, 7:29:01 PM,C,21.111
5/10/22, 7:59:01 PM,C,20.61
5/10/22, 8:29:01 PM,C,20.61
5/10/22, 8:59:01 PM,C,20.61
5/10/22, 9:29:01 PM,C,20.61
5/10/22, 9:59:01 PM,C,20.61
5/10/22, 10:29:01 PM,C,19.108
5/10/22, 10:59:01 PM,C,16.102
5/10/22, 11:29:01 PM,C,14.599
5/10/22, 11:59:01 PM,C,14.097
5/11/22, 12:29:01 AM,C,13.094
5/11/22, 12:59:01 AM,C,12.091
5/11/22, 1:29:01 AM,C,11.589
5/11/22, 1:59:01 AM,C,10.586
5/11/22, 2:29:01 AM,C,9.08
5/11/22, 2:59:01 AM,C,8.075
5/11/22, 3:29:01 AM,C,7.071
5/11/22, 3:59:01 AM,C,6.066
5/11/22, 4:29:01 AM,C,5.564
5/11/22, 4:59:01 AM,C,4.558
5/11/22, 5:29:01 AM,C,4.056
5/11/22, 5:59:01 AM,C,3.05
5/11/22, 6:29:01 AM,C,2.547
5/11/22, 6:59:01 AM,C,2.547
5/11/22, 7:29:01 AM,C,2.044
5/11/22, 7:59:01 AM,C,2.044
5/11/22, 8:29:01 AM,C,2.044
5/11/22, 8:59:01 AM,C,2.547
5/11/22, 9:29:01 AM,C,4.056
5/11/22, 9:59:01 AM,C,5.061
5/11/22, 10:29:01 AM,C,6.066
5/11/22, 10:59:01 AM,C,7.573
5/11/22, 11:29:01 AM,C,9.08
5/11/22, 11:59:01 AM,C,10.586
5/11/22, 12:29:01 PM,C,11.589
5/11/22, 12:59:01 PM,C,12.593
5/11/22, 1:29:01 PM,C,13.596
5/11/22, 1:59:01 PM,C,14.599
5/11/22, 2:29:01 PM,C,15.1
5/11/22, 2:59:01 PM,C,15.601
5/11/22, 3:29:01 PM,C,16.102
