1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 4D0000007BEAB541
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 10 15:53:01 PDT 2022
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue May 10 15:53:01 PDT 2022
Total Mission Samples:  8192
Total Device Samples:  40048
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/10/22, 3:53:01 PM,C,23.162
5/10/22, 4:23:01 PM,C,23.162
5/10/22, 4:53:01 PM,C,22.661
5/10/22, 5:23:01 PM,C,21.16
5/10/22, 5:53:01 PM,C,21.16
5/10/22, 6:23:01 PM,C,21.16
5/10/22, 6:53:01 PM,C,21.16
5/10/22, 7:23:01 PM,C,20.66
5/10/22, 7:53:01 PM,C,20.66
5/10/22, 8:23:01 PM,C,20.66
5/10/22, 8:53:01 PM,C,20.159
5/10/22, 9:23:01 PM,C,20.159
5/10/22, 9:53:01 PM,C,20.159
5/10/22, 10:23:01 PM,C,20.159
5/10/22, 10:53:01 PM,C,17.155
5/10/22, 11:23:01 PM,C,15.152
5/10/22, 11:53:01 PM,C,14.651
5/11/22, 12:23:01 AM,C,13.649
5/11/22, 12:53:01 AM,C,12.646
5/11/22, 1:23:01 AM,C,11.644
5/11/22, 1:53:01 AM,C,10.641
5/11/22, 2:23:01 AM,C,9.638
5/11/22, 2:53:01 AM,C,8.634
5/11/22, 3:23:01 AM,C,7.631
5/11/22, 3:53:01 AM,C,6.627
5/11/22, 4:23:01 AM,C,5.624
5/11/22, 4:53:01 AM,C,5.122
5/11/22, 5:23:01 AM,C,4.118
5/11/22, 5:53:01 AM,C,3.616
5/11/22, 6:23:01 AM,C,2.611
5/11/22, 6:53:01 AM,C,2.611
5/11/22, 7:23:01 AM,C,2.109
5/11/22, 7:53:01 AM,C,2.109
5/11/22, 8:23:01 AM,C,2.109
5/11/22, 8:53:01 AM,C,2.109
5/11/22, 9:23:01 AM,C,3.113
5/11/22, 9:53:01 AM,C,4.118
5/11/22, 10:23:01 AM,C,5.624
5/11/22, 10:53:01 AM,C,6.627
5/11/22, 11:23:01 AM,C,8.133
5/11/22, 11:53:01 AM,C,9.638
5/11/22, 12:23:01 PM,C,11.142
5/11/22, 12:53:01 PM,C,12.145
5/11/22, 1:23:01 PM,C,13.147
5/11/22, 1:53:01 PM,C,13.649
5/11/22, 2:23:01 PM,C,14.651
5/11/22, 2:53:01 PM,C,15.653
5/11/22, 3:23:01 PM,C,16.154
5/11/22, 3:53:01 PM,C,16.154
5/11/22, 4:23:01 PM,C,16.655
5/11/22, 4:53:01 PM,C,22.661
5/11/22, 5:23:01 PM,C,27.662
5/11/22, 5:53:01 PM,C,27.162
5/11/22, 6:23:01 PM,C,20.66
5/11/22, 6:53:01 PM,C,17.155
5/11/22, 7:23:01 PM,C,16.154
5/11/22, 7:53:01 PM,C,14.15
5/11/22, 8:23:01 PM,C,10.139
5/11/22, 8:53:01 PM,C,7.129
5/11/22, 9:23:01 PM,C,4.62
