1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: FF0000007BEAB341
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 10 15:43:01 PDT 2022
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue May 10 15:43:01 PDT 2022
Total Mission Samples:  8192
Total Device Samples:  18393
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/10/22, 3:43:01 PM,C,23.623
5/10/22, 4:13:01 PM,C,22.622
5/10/22, 4:43:01 PM,C,22.622
5/10/22, 5:13:01 PM,C,21.621
5/10/22, 5:43:01 PM,C,21.121
5/10/22, 6:13:01 PM,C,21.121
5/10/22, 6:43:01 PM,C,21.121
5/10/22, 7:13:01 PM,C,20.62
5/10/22, 7:43:01 PM,C,20.62
5/10/22, 8:13:01 PM,C,20.62
5/10/22, 8:43:01 PM,C,20.119
5/10/22, 9:13:01 PM,C,20.119
5/10/22, 9:43:01 PM,C,20.119
5/10/22, 10:13:01 PM,C,20.119
5/10/22, 10:43:01 PM,C,18.116
5/10/22, 11:13:01 PM,C,15.611
5/10/22, 11:43:01 PM,C,14.609
5/11/22, 12:13:01 AM,C,13.606
5/11/22, 12:43:01 AM,C,13.104
5/11/22, 1:13:01 AM,C,12.101
5/11/22, 1:43:01 AM,C,11.098
5/11/22, 2:13:01 AM,C,10.094
5/11/22, 2:43:01 AM,C,9.091
5/11/22, 3:13:01 AM,C,8.086
5/11/22, 3:43:01 AM,C,7.082
5/11/22, 4:13:01 AM,C,6.078
5/11/22, 4:43:01 AM,C,5.073
5/11/22, 5:13:01 AM,C,4.57
5/11/22, 5:43:01 AM,C,3.565
5/11/22, 6:13:01 AM,C,3.063
5/11/22, 6:43:01 AM,C,2.56
5/11/22, 7:13:01 AM,C,2.057
5/11/22, 7:43:01 AM,C,2.057
5/11/22, 8:13:01 AM,C,2.057
5/11/22, 8:43:01 AM,C,2.057
5/11/22, 9:13:01 AM,C,3.063
5/11/22, 9:43:01 AM,C,4.068
5/11/22, 10:13:01 AM,C,5.073
5/11/22, 10:43:01 AM,C,6.078
5/11/22, 11:13:01 AM,C,7.584
5/11/22, 11:43:01 AM,C,9.091
5/11/22, 12:13:01 PM,C,10.596
5/11/22, 12:43:01 PM,C,11.6
5/11/22, 1:13:01 PM,C,12.603
5/11/22, 1:43:01 PM,C,13.606
5/11/22, 2:13:01 PM,C,14.609
5/11/22, 2:43:01 PM,C,15.11
5/11/22, 3:13:01 PM,C,15.611
5/11/22, 3:43:01 PM,C,16.112
5/11/22, 4:13:01 PM,C,16.613
5/11/22, 4:43:01 PM,C,18.617
5/11/22, 5:13:01 PM,C,26.623
5/11/22, 5:43:01 PM,C,27.123
5/11/22, 6:13:01 PM,C,20.62
5/11/22, 6:43:01 PM,C,16.112
5/11/22, 7:13:01 PM,C,18.116
5/11/22, 7:43:01 PM,C,14.107
5/11/22, 8:13:01 PM,C,11.098
5/11/22, 8:43:01 PM,C,7.584
5/11/22, 9:13:01 PM,C,5.073
5/11/22, 9:43:01 PM,C,3.063
5/11/22, 10:13:01 PM,C,1.554
5/11/22, 10:43:01 PM,C,0.548
5/11/22, 11:13:01 PM,C,-0.458
5/11/22, 11:43:01 PM,C,-0.961
5/12/22, 12:13:01 AM,C,-1.464
5/12/22, 12:43:01 AM,C,-1.464
5/12/22, 1:13:01 AM,C,-1.967
5/12/22, 1:43:01 AM,C,-2.471
5/12/22, 2:13:01 AM,C,-2.471
5/12/22, 2:43:01 AM,C,-2.974
5/12/22, 3:13:01 AM,C,-2.974
5/12/22, 3:43:01 AM,C,-3.478
5/12/22, 4:13:01 AM,C,-3.478
5/12/22, 4:43:01 AM,C,-1.967
5/12/22, 5:13:01 AM,C,-1.464
5/12/22, 5:43:01 AM,C,-0.961
5/12/22, 6:13:01 AM,C,-0.458
5/12/22, 6:43:01 AM,C,-0.458
5/12/22, 7:13:01 AM,C,0.548
5/12/22, 7:43:01 AM,C,1.554
5/12/22, 8:13:01 AM,C,2.56
5/12/22, 8:43:01 AM,C,11.098
5/12/22, 9:13:01 AM,C,10.094
5/12/22, 9:43:01 AM,C,10.596
5/12/22, 10:13:01 AM,C,12.603
5/12/22, 10:43:01 AM,C,16.112
5/12/22, 11:13:01 AM,C,12.603
5/12/22, 11:43:01 AM,C,13.104
5/12/22, 12:13:01 PM,C,12.101
5/12/22, 12:43:01 PM,C,13.104
5/12/22, 1:13:01 PM,C,15.11
5/12/22, 1:43:01 PM,C,16.613
5/12/22, 2:13:01 PM,C,16.112
5/12/22, 2:43:01 PM,C,16.112
5/12/22, 3:13:01 PM,C,15.11
5/12/22, 3:43:01 PM,C,15.611
5/12/22, 4:13:01 PM,C,15.611
5/12/22, 4:43:01 PM,C,14.107
5/12/22, 5:13:01 PM,C,15.11
5/12/22, 5:43:01 PM,C,14.609
5/12/22, 6:13:01 PM,C,13.606
5/12/22, 6:43:01 PM,C,13.104
5/12/22, 7:13:01 PM,C,12.603
5/12/22, 7:43:01 PM,C,11.098
5/12/22, 8:13:01 PM,C,9.592
5/12/22, 8:43:01 PM,C,8.086
5/12/22, 9:13:01 PM,C,6.58
5/12/22, 9:43:01 PM,C,6.078
5/12/22, 10:13:01 PM,C,5.575
5/12/22, 10:43:01 PM,C,4.57
5/12/22, 11:13:01 PM,C,3.063
5/12/22, 11:43:01 PM,C,1.554
5/13/22, 12:13:01 AM,C,1.554
5/13/22, 12:43:01 AM,C,2.057
5/13/22, 1:13:01 AM,C,1.554
5/13/22, 1:43:01 AM,C,1.051
5/13/22, 2:13:01 AM,C,1.051
5/13/22, 2:43:01 AM,C,0.548
5/13/22, 3:13:01 AM,C,0.045
5/13/22, 3:43:01 AM,C,0.045
5/13/22, 4:13:01 AM,C,0.045
5/13/22, 4:43:01 AM,C,0.045
5/13/22, 5:13:01 AM,C,0.548
5/13/22, 5:43:01 AM,C,0.045
5/13/22, 6:13:01 AM,C,0.045
5/13/22, 6:43:01 AM,C,0.548
5/13/22, 7:13:01 AM,C,1.554
5/13/22, 7:43:01 AM,C,2.057
5/13/22, 8:13:01 AM,C,3.063
5/13/22, 8:43:01 AM,C,3.565
5/13/22, 9:13:01 AM,C,5.073
5/13/22, 9:43:01 AM,C,7.082
5/13/22, 10:13:01 AM,C,9.091
5/13/22, 10:43:01 AM,C,11.098
5/13/22, 11:13:01 AM,C,11.6
5/13/22, 11:43:01 AM,C,13.606
5/13/22, 12:13:01 PM,C,15.11
5/13/22, 12:43:01 PM,C,15.611
5/13/22, 1:13:01 PM,C,17.114
5/13/22, 1:43:01 PM,C,18.116
5/13/22, 2:13:01 PM,C,19.118
5/13/22, 2:43:01 PM,C,20.62
5/13/22, 3:13:01 PM,C,22.122
5/13/22, 3:43:01 PM,C,23.122
5/13/22, 4:13:01 PM,C,23.623
5/13/22, 4:43:01 PM,C,24.123
5/13/22, 5:13:01 PM,C,25.123
5/13/22, 5:43:01 PM,C,23.122
5/13/22, 6:13:01 PM,C,21.121
5/13/22, 6:43:01 PM,C,20.119
5/13/22, 7:13:01 PM,C,19.118
5/13/22, 7:43:01 PM,C,18.116
5/13/22, 8:13:01 PM,C,17.615
5/13/22, 8:43:01 PM,C,17.114
5/13/22, 9:13:01 PM,C,16.613
5/13/22, 9:43:01 PM,C,16.112
5/13/22, 10:13:01 PM,C,16.112
5/13/22, 10:43:01 PM,C,15.611
5/13/22, 11:13:01 PM,C,15.11
5/13/22, 11:43:01 PM,C,15.11
5/14/22, 12:13:01 AM,C,14.609
5/14/22, 12:43:01 AM,C,14.609
5/14/22, 1:13:01 AM,C,14.107
5/14/22, 1:43:01 AM,C,14.107
5/14/22, 2:13:01 AM,C,14.107
5/14/22, 2:43:01 AM,C,13.606
5/14/22, 3:13:01 AM,C,13.606
5/14/22, 3:43:01 AM,C,13.104
5/14/22, 4:13:01 AM,C,13.104
5/14/22, 4:43:01 AM,C,13.104
5/14/22, 5:13:01 AM,C,12.603
5/14/22, 5:43:01 AM,C,12.603
5/14/22, 6:13:01 AM,C,12.603
5/14/22, 6:43:01 AM,C,12.101
5/14/22, 7:13:01 AM,C,12.603
