1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2B0000007BEAFB41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 10 15:50:01 PDT 2022
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue May 10 15:50:01 PDT 2022
Total Mission Samples:  8192
Total Device Samples:  39986
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/10/22, 3:50:01 PM,C,23.082
5/10/22, 4:20:01 PM,C,23.082
5/10/22, 4:50:01 PM,C,22.581
5/10/22, 5:20:01 PM,C,21.581
5/10/22, 5:50:01 PM,C,21.581
5/10/22, 6:20:01 PM,C,21.08
5/10/22, 6:50:01 PM,C,21.08
5/10/22, 7:20:01 PM,C,20.58
5/10/22, 7:50:01 PM,C,20.58
5/10/22, 8:20:01 PM,C,20.58
5/10/22, 8:50:01 PM,C,20.58
5/10/22, 9:20:01 PM,C,20.58
5/10/22, 9:50:01 PM,C,20.58
5/10/22, 10:20:01 PM,C,20.079
5/10/22, 10:50:01 PM,C,16.574
5/10/22, 11:20:01 PM,C,15.072
5/10/22, 11:50:01 PM,C,14.069
5/11/22, 12:20:01 AM,C,13.067
5/11/22, 12:50:01 AM,C,12.566
5/11/22, 1:20:01 AM,C,11.563
5/11/22, 1:50:01 AM,C,10.56
5/11/22, 2:20:01 AM,C,9.557
5/11/22, 2:50:01 AM,C,8.554
5/11/22, 3:20:01 AM,C,7.551
5/11/22, 3:50:01 AM,C,6.547
5/11/22, 4:20:01 AM,C,5.543
5/11/22, 4:50:01 AM,C,4.539
5/11/22, 5:20:01 AM,C,4.037
5/11/22, 5:50:01 AM,C,3.535
5/11/22, 6:20:01 AM,C,2.531
5/11/22, 6:50:01 AM,C,2.531
5/11/22, 7:20:01 AM,C,2.028
5/11/22, 7:50:01 AM,C,2.028
5/11/22, 8:20:01 AM,C,2.028
5/11/22, 8:50:01 AM,C,2.531
5/11/22, 9:20:01 AM,C,3.535
5/11/22, 9:50:01 AM,C,4.539
5/11/22, 10:20:01 AM,C,5.543
5/11/22, 10:50:01 AM,C,7.049
5/11/22, 11:20:01 AM,C,8.554
5/11/22, 11:50:01 AM,C,10.059
5/11/22, 12:20:01 PM,C,11.062
5/11/22, 12:50:01 PM,C,12.065
5/11/22, 1:20:01 PM,C,13.067
5/11/22, 1:50:01 PM,C,14.069
5/11/22, 2:20:01 PM,C,15.072
5/11/22, 2:50:01 PM,C,15.573
5/11/22, 3:20:01 PM,C,16.074
5/11/22, 3:50:01 PM,C,16.074
5/11/22, 4:20:01 PM,C,16.574
5/11/22, 4:50:01 PM,C,21.581
5/11/22, 5:20:01 PM,C,27.582
5/11/22, 5:50:01 PM,C,26.582
5/11/22, 6:20:01 PM,C,21.08
5/11/22, 6:50:01 PM,C,17.075
5/11/22, 7:20:01 PM,C,17.075
5/11/22, 7:50:01 PM,C,14.571
5/11/22, 8:20:01 PM,C,11.062
5/11/22, 8:50:01 PM,C,8.052
5/11/22, 9:20:01 PM,C,5.543
5/11/22, 9:50:01 PM,C,4.037
5/11/22, 10:20:01 PM,C,2.531
5/11/22, 10:50:01 PM,C,1.526
5/11/22, 11:20:01 PM,C,0.521
5/11/22, 11:50:01 PM,C,-0.484
5/12/22, 12:20:01 AM,C,-0.987
5/12/22, 12:50:01 AM,C,-0.987
5/12/22, 1:20:01 AM,C,-1.489
5/12/22, 1:50:01 AM,C,-1.992
5/12/22, 2:20:01 AM,C,-1.992
5/12/22, 2:50:01 AM,C,-2.495
5/12/22, 3:20:01 AM,C,-2.997
5/12/22, 3:50:01 AM,C,-3.5
5/12/22, 4:20:01 AM,C,-2.997
5/12/22, 4:50:01 AM,C,-1.992
5/12/22, 5:20:01 AM,C,-1.489
5/12/22, 5:50:01 AM,C,-0.987
5/12/22, 6:20:01 AM,C,-0.484
5/12/22, 6:50:01 AM,C,0.019
5/12/22, 7:20:01 AM,C,0.521
5/12/22, 7:50:01 AM,C,1.526
5/12/22, 8:20:01 AM,C,2.531
5/12/22, 8:50:01 AM,C,10.56
5/12/22, 9:20:01 AM,C,10.059
5/12/22, 9:50:01 AM,C,10.56
5/12/22, 10:20:01 AM,C,13.067
5/12/22, 10:50:01 AM,C,16.574
5/12/22, 11:20:01 AM,C,13.568
5/12/22, 11:50:01 AM,C,13.067
5/12/22, 12:20:01 PM,C,12.065
5/12/22, 12:50:01 PM,C,13.568
5/12/22, 1:20:01 PM,C,15.573
5/12/22, 1:50:01 PM,C,16.574
5/12/22, 2:20:01 PM,C,16.074
5/12/22, 2:50:01 PM,C,15.072
5/12/22, 3:20:01 PM,C,15.573
5/12/22, 3:50:01 PM,C,15.072
5/12/22, 4:20:01 PM,C,15.072
5/12/22, 4:50:01 PM,C,13.067
5/12/22, 5:20:01 PM,C,14.069
5/12/22, 5:50:01 PM,C,13.568
5/12/22, 6:20:01 PM,C,12.566
5/12/22, 6:50:01 PM,C,12.065
5/12/22, 7:20:01 PM,C,11.563
5/12/22, 7:50:01 PM,C,10.059
5/12/22, 8:20:01 PM,C,9.056
5/12/22, 8:50:01 PM,C,7.551
5/12/22, 9:20:01 PM,C,6.045
5/12/22, 9:50:01 PM,C,5.543
5/12/22, 10:20:01 PM,C,5.041
5/12/22, 10:50:01 PM,C,3.535
5/12/22, 11:20:01 PM,C,2.028
5/12/22, 11:50:01 PM,C,1.023
5/13/22, 12:20:01 AM,C,1.526
5/13/22, 12:50:01 AM,C,2.028
5/13/22, 1:20:01 AM,C,1.023
5/13/22, 1:50:01 AM,C,1.023
5/13/22, 2:20:01 AM,C,0.521
5/13/22, 2:50:01 AM,C,0.521
5/13/22, 3:20:01 AM,C,0.019
5/13/22, 3:50:01 AM,C,0.521
5/13/22, 4:20:01 AM,C,-0.484
5/13/22, 4:50:01 AM,C,0.521
5/13/22, 5:20:01 AM,C,0.521
5/13/22, 5:50:01 AM,C,0.019
5/13/22, 6:20:01 AM,C,0.521
5/13/22, 6:50:01 AM,C,1.023
5/13/22, 7:20:01 AM,C,2.028
5/13/22, 7:50:01 AM,C,3.033
5/13/22, 8:20:01 AM,C,3.535
5/13/22, 8:50:01 AM,C,4.539
5/13/22, 9:20:01 AM,C,6.547
5/13/22, 9:50:01 AM,C,8.554
5/13/22, 10:20:01 AM,C,11.062
5/13/22, 10:50:01 AM,C,12.566
5/13/22, 11:20:01 AM,C,12.566
5/13/22, 11:50:01 AM,C,15.573
5/13/22, 12:20:01 PM,C,15.573
5/13/22, 12:50:01 PM,C,17.075
5/13/22, 1:20:01 PM,C,17.576
5/13/22, 1:50:01 PM,C,18.077
5/13/22, 2:20:01 PM,C,20.58
5/13/22, 2:50:01 PM,C,22.581
5/13/22, 3:20:01 PM,C,23.582
5/13/22, 3:50:01 PM,C,24.582
5/13/22, 4:20:01 PM,C,24.082
5/13/22, 4:50:01 PM,C,25.582
5/13/22, 5:20:01 PM,C,23.582
5/13/22, 5:50:01 PM,C,21.08
5/13/22, 6:20:01 PM,C,19.579
5/13/22, 6:50:01 PM,C,18.578
5/13/22, 7:20:01 PM,C,18.077
5/13/22, 7:50:01 PM,C,17.075
5/13/22, 8:20:01 PM,C,16.574
5/13/22, 8:50:01 PM,C,16.574
5/13/22, 9:20:01 PM,C,16.074
5/13/22, 9:50:01 PM,C,15.573
5/13/22, 10:20:01 PM,C,15.573
5/13/22, 10:50:01 PM,C,15.072
5/13/22, 11:20:01 PM,C,15.072
5/13/22, 11:50:01 PM,C,14.571
5/14/22, 12:20:01 AM,C,14.571
5/14/22, 12:50:01 AM,C,14.069
5/14/22, 1:20:01 AM,C,14.069
5/14/22, 1:50:01 AM,C,13.568
5/14/22, 2:20:01 AM,C,13.568
5/14/22, 2:50:01 AM,C,13.568
5/14/22, 3:20:01 AM,C,13.067
5/14/22, 3:50:01 AM,C,13.067
5/14/22, 4:20:01 AM,C,12.566
5/14/22, 4:50:01 AM,C,12.566
5/14/22, 5:20:01 AM,C,12.566
5/14/22, 5:50:01 AM,C,12.065
5/14/22, 6:20:01 AM,C,12.065
5/14/22, 6:50:01 AM,C,12.065
5/14/22, 7:20:01 AM,C,12.566
5/14/22, 7:50:01 AM,C,13.067
5/14/22, 8:20:01 AM,C,13.067
5/14/22, 8:50:01 AM,C,13.568
5/14/22, 9:20:01 AM,C,14.069
5/14/22, 9:50:01 AM,C,14.571
5/14/22, 10:20:01 AM,C,14.571
5/14/22, 10:50:01 AM,C,15.072
5/14/22, 11:20:01 AM,C,15.573
5/14/22, 11:50:01 AM,C,15.573
5/14/22, 12:20:01 PM,C,16.074
5/14/22, 12:50:01 PM,C,16.074
5/14/22, 1:20:01 PM,C,16.574
5/14/22, 1:50:01 PM,C,16.574
5/14/22, 2:20:01 PM,C,16.574
5/14/22, 2:50:01 PM,C,17.075
5/14/22, 3:20:01 PM,C,17.075
5/14/22, 3:50:01 PM,C,17.075
5/14/22, 4:20:01 PM,C,17.576
5/14/22, 4:50:01 PM,C,17.576
5/14/22, 5:20:01 PM,C,17.576
5/14/22, 5:50:01 PM,C,17.576
5/14/22, 6:20:01 PM,C,17.576
5/14/22, 6:50:01 PM,C,17.576
5/14/22, 7:20:01 PM,C,17.576
5/14/22, 7:50:01 PM,C,17.576
5/14/22, 8:20:01 PM,C,17.576
5/14/22, 8:50:01 PM,C,17.075
5/14/22, 9:20:01 PM,C,17.075
5/14/22, 9:50:01 PM,C,17.075
5/14/22, 10:20:01 PM,C,16.574
5/14/22, 10:50:01 PM,C,16.574
5/14/22, 11:20:01 PM,C,16.074
5/14/22, 11:50:01 PM,C,16.074
5/15/22, 12:20:01 AM,C,16.074
5/15/22, 12:50:01 AM,C,15.573
5/15/22, 1:20:01 AM,C,15.573
5/15/22, 1:50:01 AM,C,15.573
5/15/22, 2:20:01 AM,C,15.072
5/15/22, 2:50:01 AM,C,15.072
5/15/22, 3:20:01 AM,C,15.072
5/15/22, 3:50:01 AM,C,14.571
5/15/22, 4:20:01 AM,C,14.571
5/15/22, 4:50:01 AM,C,14.571
5/15/22, 5:20:01 AM,C,14.069
5/15/22, 5:50:01 AM,C,14.069
5/15/22, 6:20:01 AM,C,14.069
5/15/22, 6:50:01 AM,C,14.069
5/15/22, 7:20:01 AM,C,14.571
5/15/22, 7:50:01 AM,C,14.571
5/15/22, 8:20:01 AM,C,15.072
5/15/22, 8:50:01 AM,C,15.573
5/15/22, 9:20:01 AM,C,15.573
5/15/22, 9:50:01 AM,C,16.074
5/15/22, 10:20:01 AM,C,16.574
5/15/22, 10:50:01 AM,C,17.075
5/15/22, 11:20:01 AM,C,17.075
5/15/22, 11:50:01 AM,C,17.576
5/15/22, 12:20:01 PM,C,17.576
5/15/22, 12:50:01 PM,C,18.077
5/15/22, 1:20:01 PM,C,18.077
5/15/22, 1:50:01 PM,C,18.578
5/15/22, 2:20:01 PM,C,18.578
5/15/22, 2:50:01 PM,C,18.578
5/15/22, 3:20:01 PM,C,18.578
5/15/22, 3:50:01 PM,C,19.078
5/15/22, 4:20:01 PM,C,19.078
5/15/22, 4:50:01 PM,C,19.078
5/15/22, 5:20:01 PM,C,19.078
5/15/22, 5:50:01 PM,C,19.078
5/15/22, 6:20:01 PM,C,19.078
5/15/22, 6:50:01 PM,C,18.578
5/15/22, 7:20:01 PM,C,18.578
5/15/22, 7:50:01 PM,C,18.578
5/15/22, 8:20:01 PM,C,18.077
5/15/22, 8:50:01 PM,C,18.077
5/15/22, 9:20:01 PM,C,17.576
5/15/22, 9:50:01 PM,C,17.576
5/15/22, 10:20:01 PM,C,17.576
5/15/22, 10:50:01 PM,C,17.075
5/15/22, 11:20:01 PM,C,17.075
5/15/22, 11:50:01 PM,C,17.075
5/16/22, 12:20:01 AM,C,17.075
5/16/22, 12:50:01 AM,C,16.574
5/16/22, 1:20:01 AM,C,16.574
5/16/22, 1:50:01 AM,C,16.574
5/16/22, 2:20:01 AM,C,16.074
5/16/22, 2:50:01 AM,C,16.074
5/16/22, 3:20:01 AM,C,16.074
5/16/22, 3:50:01 AM,C,15.573
5/16/22, 4:20:01 AM,C,15.573
5/16/22, 4:50:01 AM,C,15.072
5/16/22, 5:20:01 AM,C,15.072
5/16/22, 5:50:01 AM,C,15.072
5/16/22, 6:20:01 AM,C,15.072
