fid,cat,field_1,stream,channel_type,latitude,longitude,max_depth_m,lwd_total,total_shade,undercut_bank_m,dominant_substrate,river_m
"1","1","1",Mahogany Creek,scour_pool,41.5338646436792,-119.049556610072,0.27,"0","23",3.5,sand,1701.77190319349
"2","2","2",Mahogany Creek,run,41.5338552148522,-119.0495802857,0.17,"0","5",0,sand,1699.50770075684
"3","3","3",Mahogany Creek,mid-channel,41.5338640028765,-119.049592549927,0.27,"0","13",1.4,sand,1698.84770836083
"4","4","4",Mahogany Creek,run,41.5339000093817,-119.049593687034,0.23,"0","3",3.75,sand,1700.106603703
"5","5","5",Mahogany Creek,riffle,41.5339831599916,-119.049476445795,0.17,"0","18",0.36,sand,1712.68644972867
"6","6","6",Mahogany Creek,run,41.5339750127193,-119.049428241641,0.27,"0","24",1.63,sand,1716.27064928162
"7","7","7",Mahogany Creek,riffle,41.5339126420807,-119.049390311975,0.31,"0","7",0.45,sand,1716.99177440247
"8","8","8",Mahogany Creek,scour_pool,41.5338856371984,-119.049389459229,0.22,"0","23",1.3,sand,1716.04759160452
"9","9","9",Mahogany Creek,run,41.5338946388258,-119.049389743478,0.26,"0","17",8.5,sand,1716.36231820309
"10","10","10",Mahogany Creek,scour_pool,41.533940928433,-119.049319284918,0.46,"0","15",2.5,sand,1723.7843429624
"11","11","11",Mahogany Creek,run,41.5339582909586,-119.04935579331,0.37,"0","25",5.5,sand,1721.48959158634
"12","12","12",Mahogany Creek,scour_pool,41.5340397327613,-119.049334391545,0.37,"0","29",6.5,sand,1726.27159059622
"13","13","13",Mahogany Creek,run,41.5340303039782,-119.049358067271,0.33,"0","23",0,gravel,1724.00741126247
"14","14","14",Mahogany Creek,run,41.534084954475,-119.049323832765,0.32,"0","4",3,sand,1728.81997591257
"15","15","15",Mahogany Creek,scour_pool,41.534105093426,-119.049204601265,0.36,"0","21",2.5,sand,1762.65490610611
"16","16","16",Mahogany Creek,run,41.534096518922,-119.049180357046,0.26,"0","30",0.8,sand,1762.53123999051
"17","17","17",Mahogany Creek,scour_pool,41.5340607259686,-119.049167240169,0.35,"0","17",0.5,sand,1759.21646406185
"18","18","18",Mahogany Creek,run,41.5340418684651,-119.04921459168,0.34,"0","8",2.3,sand,1736.01892173856
"19","19","19",Mahogany Creek,mid-channel,41.5340060755155,-119.049201474797,0.44,"0","14",5.5,sand,1735.73474032774
"20","20","20",Mahogany Creek,run,41.5340350024154,-119.049094507592,0.26,"0","28",0,sand,1758.84558779146
"21","21","21",Mahogany Creek,scour_pool,41.5421971403054,-119.03783156261,0.3,"0","28",4.05,sand,3208.80602973119
"22","22","22",Mahogany Creek,run,41.542215143664,-119.037832128068,0.29,"0","13",6.8,sand,3210.70904482245
"23","23","23",Mahogany Creek,run,41.5421898378828,-119.037735427272,0.32,"0","21",18.5,sand,3210.54000053937
"24","24","24",Mahogany Creek,mid-channel,41.5422468214747,-119.037569381339,0.29,"0","28",2.2,sand,3220.94887520744
"25","25","25",Mahogany Creek,run,41.5422648248361,-119.037569946725,0.24,"0","34",11,sand,3222.85188089881
"26","26","26",Mahogany Creek,scour_pool,41.5423998500446,-119.037574187135,0.26,"0","26",1,sand,3227.38067805002
"27","27","27",Mahogany Creek,run,41.5424174286303,-119.037598715765,0.24,"0","81",0,sand,3227.38067805002
"28","28","28",Mahogany Creek,mid-channel,41.5424727130245,-119.037528522178,0.28,"0","86",0.5,sand,3227.38067805002
"29","29","29",Mahogany Creek,run,41.5424557715557,-119.037468048662,0.2,"0","92",3.1,sand,3232.16960031975
"30","30","30",Mahogany Creek,riffle,41.5423571778109,-119.037440975962,0.22,"0","12",10.4,sand,3233.83220696715
"31","31","31",Mahogany Creek,mid-channel,41.5424284711617,-119.036975671364,0.29,"0","1",0,sand,3273.06507063426
"32","32","32",Mahogany Creek,plunge_pool,41.5424580240127,-119.036832739615,0.54,"1","79",0,sand,3285.16280724509
"33","33","33",Mahogany Creek,riffle,41.5424689364298,-119.03672518749,0.27,"0","18",2,sand,3294.19758062629
"34","34","34",Mahogany Creek,scour_pool,41.542479848747,-119.036617635326,0.29,"0","48",4.5,sand,3303.2324198864
"35","35","35",Mahogany Creek,riffle,41.5424995503743,-119.036522347313,0.15,"0","1",4,sand,3311.29755031655
"36","36","36",Mahogany Creek,mid-channel,41.5425117360761,-119.03634290518,0.37,"0","1",2.1,sand,3332.45713158816
"37","37","37",Mahogany Creek,riffle,41.542513221854,-119.036259033651,0.14,"0","34",0.33,gravel,3338.95629518733
"38","38","38",Mahogany Creek,mid-channel,41.5425320742183,-119.036211672074,0.41,"0","5",2.5,sand,3343.59143663945
"39","39","39",Mahogany Creek,run,41.5425419248755,-119.036164027969,0.23,"0","54",0.4,sand,3347.76612586211
"40","40","40",Mahogany Creek,run,41.5445073218962,-119.029943642693,0.3,"1","12",7.1,sand,3931.68853841044
"41","41","41",Mahogany Creek,riffle,41.5444292686845,-119.029773359101,0.28,"0","33",0,sand,3948.0243421777
"42","42","42",Mahogany Creek,run,41.5444305381528,-119.029701466802,0.24,"3","76",4.3,sand,3953.85925977449
"43","43","43",Mahogany Creek,riffle,41.544470141625,-119.029498898312,0.18,"5","71",6,sand,3969.18247635908
"44","44","44",Mahogany Creek,mid-channel,41.5444814703595,-119.029367377233,0.28,"0","35",2.8,sand,3979.57766429132
"45","45","45",Mahogany Creek,riffle,41.5445193810607,-119.02926066492,0.12,"2","81",6,sand,3987.12098068009
"46","46","46",Mahogany Creek,debris_pool,41.5445281712549,-119.029272928555,0.24,"2","79",2.5,sand,3985.84618884651
"47","47","47",Mahogany Creek,riffle,41.5444291522953,-119.02926983135,0.2,"2","0",5,sand,3989.17136060795
"48","48","48",Mahogany Creek,scour_pool,41.5442516560645,-119.029120415861,0.4,"1","56",2.5,sand,4006.8870961327
"49","49","49",Mahogany Creek,riffle,41.5443632723155,-119.028920099638,0.28,"0","50",3.2,gravel,4037.23407011942
"50","50","50",Mahogany Creek,scour_pool,41.5443281113718,-119.028871045434,0.31,"0","50",4.5,sand,4040.79489733947
