"";"date";"julian_days";"year";"trip_number";"tag_id";"fork_length_mm";"weight_g";"latitude";"longitude"
"1";2021-06-25;176;2021;0;26;241;153,3;41,53737;-119,00085
"2";2021-06-25;176;2021;0;34;178;60,7;41,53731;-119,00082
"3";2021-06-24;175;2021;0;16;158;46,1;41,51601;-118,95726
"4";2021-06-24;175;2021;0;17;138;30,4;41,51586;-118,95721
"5";2021-06-24;175;2021;0;19;128;23,3;41,51348;-118,95605
"6";2021-06-24;175;2021;0;27;168;53,8;41,53241;-118,98883
"7";2021-06-24;175;2021;0;28;197;80,7;41,53256;-118,98864
"8";2021-06-24;175;2021;0;29;121;17,3;41,51708;-118,95756
"9";2021-06-24;175;2021;0;32;148;36,2;41,51342;-118,95597
"10";2021-06-24;175;2021;0;35;116;16;41,51746;-118,95763
"11";2021-06-23;174;2021;0;13;190;58,5;41,50296;-118,97895
"12";2021-06-23;174;2021;0;15;135;29,6;41,50293;-118,97897
"13";2021-06-23;174;2021;0;18;177;57,1;41,50279;-118,97889
"14";2021-06-23;174;2021;0;20;128;24,7;41,54155;-119,00477
"15";2021-06-23;174;2021;0;21;204;90,8;41,51203;-118,98547
"16";2021-06-23;174;2021;0;24;214;115,1;41,51197;-118,9854
"17";2021-06-23;174;2021;0;25;225;118,7;41,54155;-119,00477
"18";2021-06-23;174;2021;0;30;199;87,6;41,54308;-119,00681
"19";2021-06-23;174;2021;0;33;142;32,1;41,54324;-119,00706
"20";2021-06-23;174;2021;0;36;216;113,5;41,54308;-119,00681
"21";2021-06-23;174;2021;0;37;122;19,9;41,54324;-119,00706
"22";2021-06-23;174;2021;0;40;128;22,7;41,54155;-119,00477
"23";2021-06-22;173;2021;0;11;127;22,9;41,53177;-118,99426
"24";2021-06-22;173;2021;0;12;127;22,9;41,52709;-118,98565
"25";2021-06-22;173;2021;0;22;234;140,3;41,53192;-118,99353
"26";2021-06-22;173;2021;0;23;140;30,5;41,53289;-118,99067
"27";2021-06-22;173;2021;0;31;228;129,9;41,52522;-118,98525
"28";2021-06-22;173;2021;0;38;152;39;41,53277;-118,99035
"29";2021-06-22;173;2021;0;39;164;48,8;41,53197;-118,99322
"30";2021-06-30;181;2021;1;13;190;58,5;41,5029;-118,97894
"31";2021-06-30;181;2021;1;15;135;29,6;41,50304;-118,97906
"32";2021-06-30;181;2021;1;18;177;57,1;41,50283;-118,97885
"33";2021-06-30;181;2021;1;21;204;90,8;41,51205;-118,98547
"34";2021-06-30;181;2021;1;24;214;115,1;41,51323;-118,98619
"35";2021-06-29;180;2021;1;11;127;22,9;41,53172;-118,99395
"36";2021-06-29;180;2021;1;12;127;22,9;41,52695;-118,98557
"37";2021-06-29;180;2021;1;17;138;30,4;41,51582;-118,95726
"38";2021-06-29;180;2021;1;19;128;23,3;41,51349;-118,95596
"39";2021-06-29;180;2021;1;22;234;140,3;41,53192;-118,99349
"40";2021-06-29;180;2021;1;23;140;30,5;41,53293;-118,99077
"41";2021-06-29;180;2021;1;26;241;153,3;41,53738;-119,00085
"42";2021-06-29;180;2021;1;27;168;53,8;41,53306;-118,99123
"43";2021-06-29;180;2021;1;28;197;80,7;41,53251;-118,98874
"44";2021-06-29;180;2021;1;29;121;17,3;41,51769;-118,98759
"45";2021-06-29;180;2021;1;31;228;129,9;41,52525;-118,98528
"46";2021-06-29;180;2021;1;32;148;36,2;41,50941;-118,95538
"47";2021-06-29;180;2021;1;34;178;60,7;41,53733;-119,00082
