date,trip_number,tag_id,latitude,longitude,signal_strength,gain,notes
5/31/2022,0,14,41.53986,-119.00307,250,20,
8/3/2022,0,41,41.51381,-118.95628,250,20,
8/2/2022,0,42,41.53218,-118.99313,250,20,
8/2/2022,0,44,41.53283,-118.99219,250,20,
8/2/2022,0,45,41.53008,-118.98788,250,20,
8/2/2022,0,46,41.53287,-118.99220,250,20,
8/4/2022,0,47,41.50418,-118.97974,250,20,
8/2/2022,0,48,41.53286,-118.99223,250,20,
8/3/2022,0,49,41.52299,-118.98520,250,20,
8/3/2022,0,50,41.52287,-118.98519,250,20,
8/3/2022,0,51,41.51608,-118.95731,250,20,
8/3/2022,0,52,41.51715,-118.95780,250,20,
8/3/2022,0,53,41.52288,-118.98522,250,20,
8/3/2022,0,54,41.51310,-118.95384,250,20,
8/1/2022,0,55,41.54139,-119.00491,250,20,
8/3/2022,0,56,41.52327,-118.98535,250,20,
6/1/2022,0,57,41.52526,-118.98524,250,20,
8/3/2022,0,58,41.52298,-118.98524,250,20,
6/1/2022,0,60,41.51205,-118.98548,250,20,
8/4/2022,0,61,41.50504,-118.98016,250,20,
8/4/2022,0,62,41.50285,-118.97881,250,20,
8/4/2022,0,64,41.50506,-118.98015,250,20,
8/4/2022,0,66,41.50385,-118.97979,250,20,
8/4/2022,0,69,41.50401,-118.97966,250,20,
7/5/2022,0.5,57,41.52579,-118.98540,250,20,
7/5/2022,0.5,60,41.51050,-118.98361,250,20,
8/10/2022,1,41,41.51381,-118.95628,250,20,
8/9/2022,1,42,41.53182,-118.99381,250,20,
8/9/2022,1,44,41.53282,-118.99215,250,20,
8/10/2022,1,45,41.53006,-118.98783,250,20,
8/9/2022,1,46,41.53283,-118.99223,243,20,
8/10/2022,1,47,41.50422,-118.97981,250,20,
8/9/2022,1,48,41.53283,-118.99223,248,20,
8/10/2022,1,49,41.52299,-118.98524,250,20,
8/10/2022,1,50,41.52287,-118.98518,243,40,point taken from cliff ledge above pool; confident location
8/10/2022,1,51,41.51594,-118.95721,250,20,
8/10/2022,1,52,41.51715,-118.95780,250,20,
8/10/2022,1,53,41.52279,-118.98509,250,20,
8/10/2022,1,54,41.51307,-118.95592,250,20,
8/9/2022,1,55,41.54126,-119.00477,234,35,likely dead in bush next to stream
8/10/2022,1,61,41.50503,-118.98016,250,20,
8/10/2022,1,62,41.50254,-118.97887,250,20,
8/10/2022,1,64,41.50503,-118.98016,250,20,
8/10/2022,1,65,41.50869,-118.98214,250,20,
8/10/2022,1,66,41.50353,-118.97950,250,20,
8/10/2022,1,68,41.54320,-119.00722,250,20,
8/10/2022,1,69,41.50404,-118.97975,250,20,
8/10/2022,1,70,41.50869,-118.98214,250,20,
8/17/2022,2,41,41.51381,-118.95628,250,20,
8/16/2022,2,42,41.53185,-118.99383,250,20,
8/16/2022,2,44,41.53280,-118.99216,250,20,
8/16/2022,2,45,41.53014,-118.98797,250,20,
8/16/2022,2,46,41.53283,-118.99223,250,20,
8/17/2022,2,47,41.50412,-118.97976,250,20,
8/16/2022,2,48,41.53283,-118.99223,250,20,
8/17/2022,2,49,41.52299,-118.98521,250,20,
8/17/2022,2,51,41.51594,-118.95721,250,20,
8/17/2022,2,52,41.51715,-118.95780,250,20,
8/17/2022,2,53,41.52301,-118.98517,250,20,
8/17/2022,2,54,41.51307,-118.95592,250,20,
8/16/2022,2,55,41.54126,-119.00477,N/A,N/A,DEAD FISH
8/17/2022,2,61,41.50761,-118.98121,250,20,DEAD TAG; EATEN; FOUND ON THE BANK
8/17/2022,2,62,41.50254,-118.97887,250,20,
8/17/2022,2,64,41.50504,-118.98015,250,40,
8/17/2022,2,65,41.50869,-118.98214,250,20,
8/17/2022,2,66,41.50326,-118.97939,250,20,DEAD TAG; EATEN; FOUND ON THE BANK
8/16/2022,2,68,41.54320,-119.00722,250,20,
8/17/2022,2,69,41.50402,-118.97977,250,20,
8/17/2022,2,70,41.50869,-118.98214,247,20,
8/24/2022,3,41,41.51381,-118.95628,250,20,
8/24/2022,3,42,41.53185,-118.99383,248,20,
8/24/2022,3,44,41.53280,-118.99216,249,20,
8/24/2022,3,45,41.53014,-118.98797,250,20,
8/24/2022,3,46,41.53283,-118.99223,250,20,
8/24/2022,3,48,41.53283,-118.99223,245,20,
8/24/2022,3,51,41.51598,-118.95722,250,20,
8/24/2022,3,52,41.51715,-118.95780,250,20,
8/24/2022,3,53,41.52297,-118.98521,249,20,
8/24/2022,3,54,41.51307,-118.95592,250,20,
8/24/2022,3,62,41.50254,-118.97887,250,20,
8/24/2022,3,64,41.50504,-118.98017,250,20,
8/24/2022,3,65,41.50869,-118.98214,250,20,
8/24/2022,3,68,41.54320,-119.00722,250,20,
8/24/2022,3,69,41.50402,-118.97977,250,20,
8/24/2022,3,70,41.50869,-118.98214,250,20,
9/7/2022,4,42,41.53185,-118.99383,246,20,
9/7/2022,4,44,41.53283,-118.99223,246,20,
9/7/2022,4,45,41.53014,-118.98797,250,20,
9/7/2022,4,46,41.53283,-118.99223,250,20,
9/7/2022,4,47,41.50419,-118.97971,250,20,
9/7/2022,4,48,41.53283,-118.99223,250,20,
9/7/2022,4,53,41.52297,-118.98521,240,20,
9/7/2022,4,62,41.50254,-118.97887,250,20,
9/7/2022,4,64,41.50504,-118.98016,250,20,
9/7/2022,4,65,41.50869,-118.98214,250,20,
9/7/2022,4,68,41.54320,-119.00722,250,20,
9/7/2022,4,69,41.50402,-118.97977,250,20,
9/7/2022,4,70,41.50869,-118.98214,250,20,
10/4/2022,5,41,41.51381,-118.95628,250,20,
10/3/2022,5,42,41.53185,-118.99383,250,20,
10/3/2022,5,44,41.53281,-118.99215,242,20,
