Comments Form,,,,,,,,,,
Date,Reach #,SO,Channel Unit and Type ,Waypoint name,Latitude/Northing,Longitude/Easting,Zone:,Datum:,Comments,Site description
6/16/2015,MC1-116,1,SSLS1,MSO10,0329023,4600052,11,NAD 83,A little instability on left bank. Mussels present.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,2,FNRN1,MSO2,0329021,4600051,11,NAD 83,Mussels present. Emergent vegetation in channel.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,3,SSMC2,MSO3,0329020,4600052,11,NAD 83,Mussels.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,4,FNRN2,MSO4,0329020,4600056,11,NAD 83,,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,5,FTRF3,MSO5,0329030,4600065,11,NAD 83,Shallow riffle. Larger substrate.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,6,FNRN4,MSO6,0329034,4600064,11,NAD 83,,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,7,FTRF5,MSO7,0329037,4600057,11,NAD 83,Fish survey rebar marker in unit.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,8,SSLS3,MSO8,0329037,4600054,11,NAD 83,,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,9,FNRN6,MSO9,0329037,4600055,11,NAD 83,Sagebrush comes to edge of creek.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,10,SSLS4,MSO10,0329043,4600060,11,NAD 83,,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,11,FNRN7,MSO11,0329040,4600062,11,NAD 83,Sedges emerging into stream. Highly vegetated near stream.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,12,SSLS5,MSO12,0329042,4600071,11,NAD 83,Highly vegetated in stream with forbes and sedges.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,13,FNRN8,MSO13,0329040,4600070,11,NAD 83,,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/16/2015,MC1-116,14,FNRN9,MSO14,0329043,4600076,11,NAD 83,,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/17/2015,MC1-116,15,SSLS6,MSO15,0329053,4600078,11,NAD 83,Emergent sedges in stream. Vole in banks. Mussels.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/17/2015,MC1-116,16,FNRN10,MSO16,0329055,4600077,11,NAD 83,Emergent sedges in stream. Mussels.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/17/2015,MC1-116,17,SSLS7,MSO17,0329056,4600073,11,NAD 83,Emergent sedge in stream. Mussels.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/17/2015,MC1-116,18,FNRN11,MSO18,0329052,4600071,11,NAD 83,,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/17/2015,MC1-116,19,SSMC8,MSO19,0329053,4600067,11,NAD 83,Pool complex. Mussels.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/17/2015,MC1-116,20,FNRN12,MSO20,0329062,4600070,11,NAD 83,,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/17/2015,MC1-116,NA,NA,MC116END,0329068,4600071,11,NAD 83,End of final channel unit.,"Meadow habitat. Sagebrush at margins. Slight entrenchment. Many forbes, grasses, and sedges. Historic cattle grazing."
6/17/2015,MC1-206,31,SSLS1,MSO31,0330023,4600954,11,NAD 83,Pacific tree frog on Rumex. Hoary cress. Speckled dace present (3).,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,32,FNRN1,MSO32,0330023,4600956,11,NAD 83,,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,33,FNRN2,MSO33,0330031,4600953,11,NAD 83,,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,34,SSMC2,MSO34,0330045,4600959,11,NAD 83,Fish observed.,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,35,FNRN3,MSO35,0330045,4600961,11,NAD 83,,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,36,SSLS3,MSO36,0330045,4600976,11,NAD 83,,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,37,FNRN4,MSO37,0330043,4600978,11,NAD 83,,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,38,SSMC4,MSO38,0330049,4600984,11,NAD 83,,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,39,FNRN5,MSO39,0330054,4600982,11,NAD 83,,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,40,FTRF6,MSO40,0330056,4600971,11,NAD 83,,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,41,SSMC5,MSO41,0330095,4600978,11,NAD 83,Fish present.,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,42,SSPL6,MSO42,0330107,4600981,11,NAD 83,Augmented channel banks (concrete). Flood barrier from old cuilvert on LB. Deep plunge pool from culvert.,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,43,ARTIF1,MSO43,0330110,4600983,11,NAD 83,Irrigation box culvert structure. Concrete side walls. Irrigation channel scars with bare ground. Mussels in culvert. Dryer because of culvert.,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,44,FTRF7,MSO44,0330116,4600982,11,NAD 83,Dryer because of culvert (same for last site).,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,45,SSLS7,MSO45,0330125,4600983,11,NAD 83,Mussels.,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,46,FTRF8,MSO46,0330133,4600985,11,NAD 83,,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
