Flow & Stream Transects,,,,,,,,,,,,,
Date,Reach #,SO,Channel Unit and Type ,Total Width (m),Cross section width,Cross Section Depth ,Velocity,Flow,∑Flow (cms)=,Flow meter,,QAQC,Comments:
6/16/2015,MC1-116,4,FNRN2,1.2,0.24,0.12,0.003,0.0000864,0.0717648,SLPT,,,
6/16/2015,MC1-116,4,FNRN2,1.2,0.24,0.17,0.18,0.007344,0.0717648,SLPT,,,
6/16/2015,MC1-116,4,FNRN2,1.2,0.24,0.17,1.37,0.055896,0.0717648,SLPT,,,
6/16/2015,MC1-116,4,FNRN2,1.2,0.24,0.14,0.21,0.007056,0.0717648,SLPT,,,
6/16/2015,MC1-116,4,FNRN2,1.2,0.24,0.09,0.064,0.0013824,0.0717648,SLPT,,,
6/17/2015,MC1-206,40,FTRF6,0.94,0.188,0.11,0.03,0.0006204,0.0368668,SLPT,,,
6/17/2015,MC1-206,40,FTRF6,0.94,0.188,0.14,0.43,0.0113176,0.0368668,SLPT,,,
6/17/2015,MC1-206,40,FTRF6,0.94,0.188,0.18,0.42,0.0142128,0.0368668,SLPT,,,
6/17/2015,MC1-206,40,FTRF6,0.94,0.188,0.15,0.38,0.010716,0.0368668,SLPT,,,
6/17/2015,MC1-206,40,FTRF6,0.94,0.188,0.06,0,0,0.0368668,SLPT,,,
6/18/2015,MC2-257,68,FTRF6,1.5,0.3,0.03,0.08,0.00072,0.06636,SLPT,,,
6/18/2015,MC2-257,68,FTRF6,1.5,0.3,0.28,0.19,0.01596,0.06636,SLPT,,,
6/18/2015,MC2-257,68,FTRF6,1.5,0.3,0.03,0.38,0.00342,0.06636,SLPT,,,
6/18/2015,MC2-257,68,FTRF6,1.5,0.3,0.35,0.34,0.0357,0.06636,SLPT,,,
6/18/2015,MC2-257,68,FTRF6,1.5,0.3,0.32,0.11,0.01056,0.06636,SLPT,,,
6/19/2015,MC3-380,123,FTRF1,1.8,0.36,0,0,0,0.057924,SLPT,,,
6/19/2015,MC3-380,123,FTRF1,1.8,0.36,0.05,0,0,0.057924,SLPT,,,
6/19/2015,MC3-380,123,FTRF1,1.8,0.36,0.09,0.18,0.005832,0.057924,SLPT,,,
6/19/2015,MC3-380,123,FTRF1,1.8,0.36,0.11,0.22,0.008712,0.057924,SLPT,,,
6/19/2015,MC3-380,123,FTRF1,1.8,0.36,0.09,0.29,0.009396,0.057924,SLPT,,,
6/19/2015,MC3-380,123,FTRF1,1.8,0.36,0.09,0.2,0.00648,0.057924,SLPT,,,
6/19/2015,MC3-380,123,FTRF1,1.8,0.36,0.09,0.22,0.007128,0.057924,SLPT,,,
6/19/2015,MC3-380,123,FTRF1,1.8,0.36,0.14,0.28,0.014112,0.057924,SLPT,,,
6/19/2015,MC3-380,123,FTRF1,1.8,0.36,0.06,0.29,0.006264,0.057924,SLPT,,,
6/19/2015,MC3-380,123,FTRF1,1.8,0.36,0,0,0,0.057924,SLPT,,,
6/24/2015,MC5-501,223,FTRF7,1.19,0.119,0.003,0,0,0.012257,SLPT,,,"In cells 2 and 9, rod lowered as much as possible to read at 0.2 ft mark (so any reading at a depth below 0.2 ft (.06 m) will not be at 60% of the total depth)."
6/24/2015,MC5-501,223,FTRF7,1.19,0.119,0.05,0.03,0.0001785,0.012257,SLPT,,,"In cells 2 and 9, rod lowered as much as possible to read at 0.2 ft mark (so any reading at a depth below 0.2 ft (.06 m) will not be at 60% of the total depth)."
6/24/2015,MC5-501,223,FTRF7,1.19,0.119,0.06,0.13,0.0009282,0.012257,SLPT,,,"In cells 2 and 9, rod lowered as much as possible to read at 0.2 ft mark (so any reading at a depth below 0.2 ft (.06 m) will not be at 60% of the total depth)."
6/24/2015,MC5-501,223,FTRF7,1.19,0.119,0.08,0.25,0.00238,0.012257,SLPT,,,"In cells 2 and 9, rod lowered as much as possible to read at 0.2 ft mark (so any reading at a depth below 0.2 ft (.06 m) will not be at 60% of the total depth)."
6/24/2015,MC5-501,223,FTRF7,1.19,0.119,0.08,0.32,0.0030464,0.012257,SLPT,,,"In cells 2 and 9, rod lowered as much as possible to read at 0.2 ft mark (so any reading at a depth below 0.2 ft (.06 m) will not be at 60% of the total depth)."
6/24/2015,MC5-501,223,FTRF7,1.19,0.119,0.08,0.3,0.002856,0.012257,SLPT,,,"In cells 2 and 9, rod lowered as much as possible to read at 0.2 ft mark (so any reading at a depth below 0.2 ft (.06 m) will not be at 60% of the total depth)."
6/24/2015,MC5-501,223,FTRF7,1.19,0.119,0.06,0.2,0.001428,0.012257,SLPT,,,"In cells 2 and 9, rod lowered as much as possible to read at 0.2 ft mark (so any reading at a depth below 0.2 ft (.06 m) will not be at 60% of the total depth)."
6/24/2015,MC5-501,223,FTRF7,1.19,0.119,0.06,0.16,0.0011424,0.012257,SLPT,,,"In cells 2 and 9, rod lowered as much as possible to read at 0.2 ft mark (so any reading at a depth below 0.2 ft (.06 m) will not be at 60% of the total depth)."
6/24/2015,MC5-501,223,FTRF7,1.19,0.119,0.05,0.05,0.0002975,0.012257,SLPT,,,"In cells 2 and 9, rod lowered as much as possible to read at 0.2 ft mark (so any reading at a depth below 0.2 ft (.06 m) will not be at 60% of the total depth)."
6/24/2015,MC5-501,223,FTRF7,1.19,0.119,0.003,0,0,0.012257,SLPT,,,"In cells 2 and 9, rod lowered as much as possible to read at 0.2 ft mark (so any reading at a depth below 0.2 ft (.06 m) will not be at 60% of the total depth)."
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0,0,0,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.003,0,0,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.02,0,0,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.03,0.009,0.00002934,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.04,0.04,0.0001738666667,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.04,0.07,0.0003042666667,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.05,0.14,0.0007606666667,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.05,0.12,0.000652,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.06,0.07,0.0004564,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.06,0.06,0.0003912,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.06,0.07,0.0004564,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.06,0.07,0.0004564,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.06,0.05,0.000326,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.05,0.009,0.0000489,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/25/2015,MC5-555,257,FTRN9,1.63,0.1086666667,0.003,0,0,0.00405544,SLPT,,,cms is not that close to the value calculated strait from cfs. Not sure what to do about that.
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/26/2015,SCC1-069,5005,FTRF3,,,,,,,,,,
6/30/2015,SCC4-15-7,5123,FTRP2,1.2,0.15,0,0,0,0.0135,UNR,,,"For any depth below 0.08m, velocity was measured at 0.08 mark on wading rod since it couldgo no lower. Tiny eddy within transect that may have affected cell #6 velocity."
6/30/2015,SCC4-15-7,5123,FTRP2,1.2,0.15,0.04,0.24,0.00144,0.0135,UNR,,,"For any depth below 0.08m, velocity was measured at 0.08 mark on wading rod since it couldgo no lower. Tiny eddy within transect that may have affected cell #6 velocity."
6/30/2015,SCC4-15-7,5123,FTRP2,1.2,0.15,0.08,0.22,0.00264,0.0135,UNR,,,"For any depth below 0.08m, velocity was measured at 0.08 mark on wading rod since it couldgo no lower. Tiny eddy within transect that may have affected cell #6 velocity."
