Wolman Pebble Count,,,,,,,(Metric Measuremtns),,,,,,,,,,,,,,,,,,,,,,
Date,Reach..,Stream.Name,SO,Channel Unit and Type,X..of.Transects,<2,2-4.0,4-5.7,5.7-8,8-11.3,11.3-16,16-22.6,22.6-32,32-45,45-64,64-90,90-128,128-180,180-256,256-362,362-512,512-1024,1024-2048,2048-4096,,total_counted,,QAQC: proofed?,Comments:
6/16/2015,MC1-116,Mahogany Creek,5,FTRF3,8,79,1,6,3,3,1,3,10,9,2,0,0,0,0,0,0,0,0,0,0,117,<---Total #,Y,
6/16/2015,MC1-116,Mahogany Creek,5,FTRF3,8,0.6752136752,0.008547008547,0.05128205128,0.02564102564,0.02564102564,0.008547008547,0.02564102564,0.08547008547,0.07692307692,0.01709401709,0,0,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2015,MC1-206,Mahogany Creek,48,FTRF9,7,54,2,3,3,6,4,14,10,8,7,1,0,0,0,0,0,0,0,0,0,112,<---Total #,Y,
6/17/2015,MC1-206,Mahogany Creek,48,FTRF9,7,0.4821428571,0.01785714286,0.02678571429,0.02678571429,0.05357142857,0.03571428571,0.125,0.08928571429,0.07142857143,0.0625,0.008928571429,0,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2015,MC2-257,Mahogany Creek,,,4,61,0,8,4,13,13,11,7,8,4,0,0,0,0,1,0,0,0,0,0,130,<---Total #,Y,
6/18/2015,MC2-257,Mahogany Creek,,,4,0.4692307692,0,0.06153846154,0.03076923077,0.1,0.1,0.08461538462,0.05384615385,0.06153846154,0.03076923077,0,0,0,0,0.007692307692,0,0,0,0,0,1,<--- % Item ,,SO and unit #s not recorded on the data sheet.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2015,MC3-380,Mahogany Creek,125,FTRF2,4,15,6,7,10,13,11,16,13,16,8,1,0,0,0,0,0,0,0,0,0,116,<---Total #,Y,
6/19/2015,MC3-380,Mahogany Creek,125,FTRF2,4,0.1293103448,0.05172413793,0.06034482759,0.08620689655,0.1120689655,0.09482758621,0.1379310345,0.1120689655,0.1379310345,0.06896551724,0.008620689655,0,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2015,MC5-501,Mahogany Creek,229,FTRF10,5,35,0,5,4,8,8,10,12,8,9,4,7,1,3,0,1,0,0,0,0,115,<---Total #,Y,
6/24/2015,MC5-501,Mahogany Creek,229,FTRF10,5,0.3043478261,0,0.04347826087,0.0347826087,0.06956521739,0.06956521739,0.08695652174,0.1043478261,0.06956521739,0.07826086957,0.0347826087,0.06086956522,0.008695652174,0.02608695652,0,0.008695652174,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2015,MC5-555,Mahogany Creek,253,FTRF7,5,50,4,8,4,9,7,11,16,4,4,1,0,0,0,0,0,0,0,0,0,118,<---Total #,Y,
6/25/2015,MC5-555,Mahogany Creek,253,FTRF7,5,0.4237288136,0.03389830508,0.06779661017,0.03389830508,0.07627118644,0.0593220339,0.09322033898,0.1355932203,0.03389830508,0.03389830508,0.008474576271,0,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
