#,Date-Time (PST/PDT),Ch: 1 - Differential Pressure   (psi),Ch: 2 - Absolute Pressure   (psi),Ch: 3 - Temperature   (°F ),Water Level   (ft),Barometric Pressure   (psi)
1,05/12/2022 11:01:40,0.1884,11.8760,45.67,0.7413,11.6876
2,05/12/2022 11:16:40,0.1786,11.8652,36.93,0.7186,11.6866
3,05/12/2022 11:31:40,0.1752,11.8626,37.12,0.7106,11.6874
4,05/12/2022 11:46:40,0.1785,11.8662,37.51,0.7183,11.6877
5,05/12/2022 12:01:40,0.1765,11.8632,37.89,0.7138,11.6867
6,05/12/2022 12:16:40,0.1778,11.8639,38.27,0.7167,11.6861
7,05/12/2022 12:31:40,0.1766,11.8617,38.65,0.7138,11.6851
8,05/12/2022 12:46:40,0.1786,11.8627,39.21,0.7186,11.6841
9,05/12/2022 13:01:40,0.1799,11.8630,39.78,0.7216,11.6831
10,05/12/2022 13:16:40,0.1764,11.8596,40.34,0.7134,11.6832
11,05/12/2022 13:31:40,0.1805,11.8632,41.09,0.7230,11.6826
12,05/12/2022 13:46:40,0.1824,11.8649,41.64,0.7274,11.6825
13,05/12/2022 14:01:40,0.1797,11.8612,42.01,0.7211,11.6815
14,05/12/2022 14:16:40,0.1773,11.8560,42.38,0.7155,11.6787
15,05/12/2022 14:31:40,0.1780,11.8563,42.93,0.7171,11.6783
16,05/12/2022 14:46:40,0.1772,11.8551,43.48,0.7154,11.6779
17,05/12/2022 15:01:40,0.1819,11.8561,44.03,0.7261,11.6742
18,05/12/2022 15:16:40,0.1778,11.8516,44.40,0.7168,11.6738
19,05/12/2022 15:31:40,0.1816,11.8531,44.40,0.7255,11.6715
20,05/12/2022 15:46:40,0.1844,11.8541,44.58,0.7320,11.6697
21,05/12/2022 16:01:40,0.1813,11.8490,44.58,0.7248,11.6677
22,05/12/2022 16:16:40,0.1822,11.8486,44.76,0.7269,11.6664
23,05/12/2022 16:31:40,0.1850,11.8460,44.94,0.7333,11.6610
24,05/12/2022 16:46:40,0.1840,11.8475,44.94,0.7310,11.6635
25,05/12/2022 17:01:40,0.1817,11.8445,44.94,0.7259,11.6628
26,05/12/2022 17:16:40,0.1842,11.8438,44.94,0.7315,11.6596
27,05/12/2022 17:31:40,0.1821,11.8416,44.94,0.7268,11.6594
28,05/12/2022 17:46:40,0.1834,11.8442,44.76,0.7298,11.6607
29,05/12/2022 18:01:40,0.1839,11.8442,44.76,0.7308,11.6603
30,05/12/2022 18:16:40,0.1816,11.8402,44.58,0.7255,11.6586
31,05/12/2022 18:31:40,0.1834,11.8439,44.58,0.7297,11.6605
32,05/12/2022 18:46:40,0.1798,11.8413,44.40,0.7215,11.6615
33,05/12/2022 19:01:40,0.1801,11.8395,44.22,0.7220,11.6594
34,05/12/2022 19:16:40,0.1797,11.8399,44.03,0.7212,11.6602
35,05/12/2022 19:31:40,0.1822,11.8447,43.85,0.7270,11.6625
36,05/12/2022 19:46:40,0.1825,11.8459,43.67,0.7276,11.6634
37,05/12/2022 20:01:40,0.1802,11.8452,43.30,0.7223,11.6650
38,05/12/2022 20:16:40,0.1799,11.8456,43.12,0.7216,11.6657
39,05/12/2022 20:31:40,0.1811,11.8533,42.93,0.7244,11.6722
40,05/12/2022 20:46:40,0.1790,11.8512,42.57,0.7195,11.6722
41,05/12/2022 21:01:40,0.1810,11.8553,42.38,0.7242,11.6742
42,05/12/2022 21:16:40,0.1816,11.8590,42.01,0.7254,11.6774
43,05/12/2022 21:31:40,0.1792,11.8601,41.83,0.7200,11.6809
44,05/12/2022 21:46:40,0.1789,11.8635,41.64,0.7193,11.6845
45,05/12/2022 22:01:40,0.1819,11.8672,41.27,0.7263,11.6853
46,05/12/2022 22:16:40,0.1812,11.8669,41.09,0.7245,11.6857
47,05/12/2022 22:31:40,0.1796,11.8640,40.71,0.7208,11.6844
48,05/12/2022 22:46:40,0.1810,11.8658,40.53,0.7241,11.6848
49,05/12/2022 23:01:40,0.1810,11.8648,40.34,0.7240,11.6838
50,05/12/2022 23:16:40,0.1807,11.8655,39.97,0.7234,11.6848
51,05/12/2022 23:31:40,0.1805,11.8652,39.78,0.7230,11.6847
52,05/12/2022 23:46:40,0.1803,11.8634,39.59,0.7225,11.6831
53,05/13/2022 00:01:40,0.1819,11.8667,39.40,0.7262,11.6848
54,05/13/2022 00:16:40,0.1778,11.8598,39.21,0.7168,11.6819
55,05/13/2022 00:31:40,0.1811,11.8628,38.84,0.7244,11.6816
56,05/13/2022 00:46:40,0.1784,11.8580,38.65,0.7181,11.6796
57,05/13/2022 01:01:40,0.1823,11.8613,38.46,0.7271,11.6790
58,05/13/2022 01:16:40,0.1790,11.8580,38.27,0.7195,11.6790
59,05/13/2022 01:31:40,0.1769,11.8570,38.08,0.7147,11.6800
60,05/13/2022 01:46:40,0.1785,11.8596,37.89,0.7183,11.6811
61,05/13/2022 02:01:40,0.1798,11.8636,37.70,0.7213,11.6838
62,05/13/2022 02:16:40,0.1793,11.8647,37.51,0.7203,11.6854
63,05/13/2022 02:31:40,0.1794,11.8651,37.32,0.7205,11.6857
64,05/13/2022 02:46:40,0.1770,11.8574,37.12,0.7148,11.6805
65,05/13/2022 03:01:40,0.1796,11.8618,37.12,0.7209,11.6822
66,05/13/2022 03:16:40,0.1790,11.8637,36.93,0.7195,11.6847
67,05/13/2022 03:31:40,0.1797,11.8634,36.74,0.7211,11.6837
68,05/13/2022 03:46:40,0.1804,11.8637,36.55,0.7226,11.6834
69,05/13/2022 04:01:40,0.1811,11.8667,36.55,0.7244,11.6855
70,05/13/2022 04:16:40,0.1808,11.8700,36.36,0.7237,11.6892
71,05/13/2022 04:31:40,0.1795,11.8704,36.16,0.7206,11.6909
72,05/13/2022 04:46:40,0.1791,11.8667,36.16,0.7198,11.6876
73,05/13/2022 05:01:40,0.1787,11.8605,35.97,0.7188,11.6818
74,05/13/2022 05:16:40,0.1807,11.8645,35.78,0.7235,11.6838
75,05/13/2022 05:31:40,0.1778,11.8645,35.78,0.7168,11.6867
76,05/13/2022 05:46:40,0.1769,11.8657,35.58,0.7147,11.6887
77,05/13/2022 06:01:40,0.1806,11.8693,35.58,0.7232,11.6887
78,05/13/2022 06:16:40,0.1788,11.8653,35.39,0.7189,11.6866
79,05/13/2022 06:31:40,0.1770,11.8661,35.39,0.7149,11.6890
80,05/13/2022 06:46:40,0.1776,11.8683,35.39,0.7163,11.6906
81,05/13/2022 07:01:40,0.1764,11.8646,35.39,0.7135,11.6882
82,05/13/2022 07:16:40,0.1781,11.8683,35.39,0.7173,11.6902
83,05/13/2022 07:31:40,0.1791,11.8727,35.39,0.7198,11.6935
84,05/13/2022 07:46:40,0.1778,11.8719,35.39,0.7167,11.6941
85,05/13/2022 08:01:40,0.1758,11.8715,35.58,0.7122,11.6957
86,05/13/2022 08:16:40,0.1778,11.8737,35.58,0.7166,11.6960
87,05/13/2022 08:31:40,0.1803,11.8770,35.78,0.7225,11.6967
88,05/13/2022 08:46:40,0.1781,11.8763,35.78,0.7175,11.6982
89,05/13/2022 09:01:40,0.1773,11.8759,35.97,0.7156,11.6986
90,05/13/2022 09:16:40,0.1783,11.8785,36.16,0.7178,11.7002
91,05/13/2022 09:31:40,0.1782,11.8781,36.36,0.7176,11.6999
92,05/13/2022 09:46:40,0.1754,11.8748,36.55,0.7112,11.6993
93,05/13/2022 10:01:40,0.1769,11.8744,36.74,0.7147,11.6974
94,05/13/2022 10:16:40,0.1779,11.8758,37.12,0.7170,11.6979
95,05/13/2022 10:31:40,0.1778,11.8776,37.70,0.7167,11.6998
96,05/13/2022 10:46:40,0.1763,11.8768,38.08,0.7133,11.7005
97,05/13/2022 11:01:40,0.1800,11.8808,38.65,0.7218,11.7008
98,05/13/2022 11:16:40,0.1791,11.8800,39.02,0.7196,11.7009
99,05/13/2022 11:31:40,0.1783,11.8799,39.40,0.7178,11.7016
100,05/13/2022 11:46:40,0.1760,11.8780,39.97,0.7124,11.7021
101,05/13/2022 12:01:40,0.1764,11.8791,40.53,0.7135,11.7027
102,05/13/2022 12:16:40,0.1776,11.8783,40.90,0.7163,11.7006
103,05/13/2022 12:31:40,0.1785,11.8786,41.46,0.7183,11.7001
104,05/13/2022 12:46:40,0.1777,11.8766,42.01,0.7166,11.6989
105,05/13/2022 13:01:40,0.1797,11.8773,42.38,0.7212,11.6976
106,05/13/2022 13:16:40,0.1770,11.8732,42.93,0.7150,11.6961
107,05/13/2022 13:31:40,0.1776,11.8727,43.48,0.7163,11.6951
108,05/13/2022 13:46:40,0.1802,11.8733,44.22,0.7224,11.6931
109,05/13/2022 14:01:40,0.1765,11.8658,44.94,0.7138,11.6893
110,05/13/2022 14:16:40,0.1786,11.8683,45.49,0.7185,11.6898
111,05/13/2022 14:31:40,0.1782,11.8671,46.03,0.7177,11.6889
112,05/13/2022 14:46:40,0.1805,11.8678,46.39,0.7230,11.6873
113,05/13/2022 15:01:40,0.1829,11.8692,46.75,0.7286,11.6863
114,05/13/2022 15:16:40,0.1748,11.8573,47.11,0.7099,11.6825
115,05/13/2022 15:31:40,0.1819,11.8628,47.29,0.7263,11.6809
116,05/13/2022 15:46:40,0.1805,11.8587,47.82,0.7230,11.6782
117,05/13/2022 16:01:40,0.1836,11.8583,48.00,0.7302,11.6747
118,05/13/2022 16:16:40,0.1805,11.8549,48.18,0.7231,11.6744
119,05/13/2022 16:31:40,0.1840,11.8571,48.18,0.7312,11.6731
120,05/13/2022 16:46:40,0.1819,11.8564,48.18,0.7262,11.6745
121,05/13/2022 17:01:40,0.1811,11.8549,48.18,0.7244,11.6738
122,05/13/2022 17:16:40,0.1817,11.8571,48.18,0.7259,11.6754
123,05/13/2022 17:31:40,0.1815,11.8549,48.18,0.7254,11.6734
124,05/13/2022 17:46:40,0.1798,11.8520,48.18,0.7213,11.6722
125,05/13/2022 18:01:40,0.1798,11.8534,48.18,0.7214,11.6737
126,05/13/2022 18:16:40,0.1825,11.8553,48.00,0.7277,11.6728
127,05/13/2022 18:31:40,0.1803,11.8546,48.00,0.7227,11.6742
128,05/13/2022 18:46:40,0.1813,11.8542,47.82,0.7249,11.6729
129,05/13/2022 19:01:40,0.1800,11.8532,47.65,0.7218,11.6732
130,05/13/2022 19:16:40,0.1808,11.8536,47.47,0.7237,11.6728
131,05/13/2022 19:31:40,0.1849,11.8584,47.29,0.7332,11.6735
132,05/13/2022 19:46:40,0.1802,11.8544,47.11,0.7222,11.6742
133,05/13/2022 20:01:40,0.1830,11.8581,46.75,0.7289,11.6751
134,05/13/2022 20:16:40,0.1826,11.8585,46.57,0.7278,11.6760
135,05/13/2022 20:31:40,0.1806,11.8594,46.21,0.7233,11.6787
136,05/13/2022 20:46:40,0.1821,11.8627,46.03,0.7266,11.6806
