"";"X.";"Date.Time..PST.PDT.";"Ch..1...Differential.Pressure....psi.";"Ch..2...Absolute.Pressure....psi.";"Ch..3...Temperature.....F..";"Water.Level....ft.";"Barometric.Pressure....psi."
"1";1;"07/05/2022 12:53:29";"0.1512";"11.5896";"60.57";0,6124;"11.4384"
"2";2;"07/05/2022 13:08:29";"0.1299";"11.5673";"53.13";0,5637;"11.4374"
"3";3;"07/05/2022 13:23:29";"0.1226";"11.5576";"53.30";0,547;"11.4351"
"4";4;"07/05/2022 13:38:29";"0.1236";"11.5613";"53.65";0,5495;"11.4377"
"5";5;"07/05/2022 13:53:29";"0.1251";"11.5603";"54.17";0,5528;"11.4352"
"6";6;"07/05/2022 14:08:29";"0.1262";"11.5584";"54.52";0,5554;"11.4322"
"7";7;"07/05/2022 14:23:29";"0.1248";"11.5574";"54.70";0,5523;"11.4326"
"8";8;"07/05/2022 14:38:29";"0.1275";"11.5608";"54.87";0,5583;"11.4333"
"9";9;"07/05/2022 14:53:29";"0.1281";"11.5593";"55.04";0,5597;"11.4311"
"10";10;"07/05/2022 15:08:29";"0.1279";"11.5599";"55.04";0,5591;"11.4320"
"11";11;"07/05/2022 15:23:29";"0.1241";"11.5555";"55.04";0,5506;"11.4314"
"12";12;"07/05/2022 15:38:29";"0.1269";"11.5584";"54.87";0,557;"11.4314"
"13";13;"07/05/2022 15:53:29";"0.1285";"11.5603";"54.52";0,5607;"11.4317"
"14";14;"07/05/2022 16:08:29";"0.1290";"11.5603";"54.17";0,5618;"11.4313"
"15";15;"07/05/2022 16:23:29";"0.1328";"11.5638";"53.65";0,5704;"11.4310"
"16";16;"07/05/2022 16:38:29";"0.1378";"11.5672";"53.48";0,5818;"11.4294"
"17";17;"07/05/2022 16:53:29";"0.1357";"11.5635";"53.13";0,5771;"11.4278"
"18";18;"07/05/2022 17:08:29";"0.1334";"11.5605";"52.78";0,5718;"11.4271"
"19";19;"07/05/2022 17:23:29";"0.1348";"11.5611";"52.43";0,575;"11.4264"
"20";20;"07/05/2022 17:38:29";"0.1336";"11.5606";"52.07";0,5723;"11.4269"
"21";21;"07/05/2022 17:53:29";"0.1356";"11.5606";"51.72";0,5767;"11.4251"
"22";22;"07/05/2022 18:08:29";"0.1335";"11.5603";"51.55";0,5721;"11.4268"
"23";23;"07/05/2022 18:23:29";"0.1360";"11.5625";"51.37";0,5778;"11.4265"
"24";24;"07/05/2022 18:38:29";"0.1339";"11.5616";"51.20";0,573;"11.4277"
"25";25;"07/05/2022 18:53:29";"0.1320";"11.5592";"50.84";0,5685;"11.4272"
"26";26;"07/05/2022 19:08:29";"0.1334";"11.5626";"50.67";0,5717;"11.4293"
"27";27;"07/05/2022 19:23:29";"0.1350";"11.5651";"50.31";0,5755;"11.4301"
"28";28;"07/05/2022 19:38:29";"0.1334";"11.5655";"50.14";0,5719;"11.4320"
"29";29;"07/05/2022 19:53:29";"0.1334";"11.5661";"49.78";0,5718;"11.4327"
"30";30;"07/05/2022 20:08:29";"0.1332";"11.5658";"49.60";0,5714;"11.4326"
