"","site","date","daily_mean_temp_c","daily_mean_do_mgL"
"1","mg2",2021-06-09,13.7622648556876,7.16307809847199
"2","mg2",2021-06-17,13.0402051282051,7.85184615384615
"3","mg2",2021-06-18,11.2146458333333,8.261375
"4","mg2",2021-06-19,11.6725277777778,8.14813888888889
"5","mg2",2021-06-20,12.084875,8.07938194444444
"6","mg2",2021-06-21,12.5579305555556,7.98282638888889
"7","mg2",2021-06-22,11.9900138888889,8.06713888888889
"8","mg2",2021-06-23,10.9065277777778,8.30034722222222
"9","mg2",2021-06-24,11.59975,8.18438194444444
"10","mg2",2021-06-25,11.7277916666667,8.16286111111111
"11","mg2",2021-06-26,12.2779791666667,8.07251388888889
"12","mg2",2021-06-27,13.0356805555556,7.92259027777778
"13","mg2",2021-06-28,13.4712430555556,7.8231875
"14","mg2",2021-06-29,13.8118333333333,7.74547222222222
"15","mg2",2021-06-30,12.6426180555556,7.96174305555556
"16","mg2",2021-07-01,13.0525902777778,7.92145833333333
"17","mg2",2021-07-02,13.4189791666667,7.85261805555556
"18","mg2",2021-07-03,13.5041805555556,7.84545833333333
"19","mg2",2021-07-04,13.0150416666667,7.97203472222222
"20","mg2",2021-07-05,12.9336111111111,8.01203472222222
"21","mg2",2021-07-06,13.3818472222222,7.86995833333333
"22","mg2",2021-07-07,13.4586944444444,7.85919444444444
"23","mg2",2021-07-08,12.4092361111111,8.07734722222222
"24","mg2",2021-07-09,12.5859097222222,8.11947916666667
"25","mg2",2021-07-10,14.1067569444444,7.82561111111111
"26","mg2",2021-07-11,14.6141944444444,7.69625694444444
"27","mg2",2021-07-12,14.3587638888889,7.7360625
"28","mg2",2021-07-13,13.6025555555556,7.89063888888889
"29","mg2",2021-07-14,13.1887430555556,7.95545833333333
"30","mg2",2021-07-15,12.9947986111111,7.97467361111111
"31","mg2",2021-07-16,12.31075,8.15190972222222
"32","mg2",2021-07-17,12.4230347222222,8.11753472222222
"33","mg2",2021-07-18,12.8785208333333,8.11152777777778
"34","mg2",2021-07-19,13.7228888888889,7.88695138888889
"35","mg2",2021-07-20,13.9311736111111,7.86003472222222
"36","mg2",2021-07-21,12.4204097222222,8.19090277777778
"37","mg2",2021-07-22,12.3263472222222,8.2059375
"38","mg2",2021-07-23,12.2939722222222,8.2909375
"39","mg2",2021-07-24,13.0843263888889,8.11393055555556
"40","mg2",2021-07-25,13.6893333333333,7.97675694444444
"41","mg2",2021-07-26,13.9421388888889,7.88541666666667
"42","mg2",2021-07-27,14.7792708333333,7.71329861111111
"43","mg2",2021-07-28,13.4978819444444,8.03820138888889
"44","mg2",2021-07-29,13.4104583333333,7.9516875
"45","mg2",2021-07-30,14.2801597222222,7.78628472222222
"46","mg2",2021-07-31,14.5860277777778,7.69038194444444
"47","mg2",2021-08-01,13.3870902777778,7.95179861111111
"48","mg2",2021-08-02,13.0909027777778,8.07016666666667
"49","mg2",2021-08-03,13.9377222222222,7.93938888888889
"50","mg2",2021-08-04,13.9778402777778,7.94325
"51","mg2",2021-08-05,13.5601875,7.92690277777778
"52","mg2",2021-08-06,11.747875,8.31009027777778
"53","mg2",2021-08-07,11.988,8.29190972222222
"54","mg2",2021-08-08,12.5865763888889,8.20005555555556
"55","mg2",2021-08-09,11.5786875,8.48440277777778
"56","mg2",2021-08-10,12.1405069444444,8.39503472222222
"57","mg2",2021-08-11,12.8150625,8.21915972222222
"58","mg2",2021-08-12,14.0886736111111,7.97393055555556
"59","mg2",2021-08-13,14.0316319444444,7.98493055555556
"60","mg2",2021-08-14,14.3730069444444,7.9708125
"61","mg2",2021-08-15,14.6706111111111,7.89749305555556
"62","mg2",2021-08-16,15.1144027777778,7.66888888888889
"63","mg2",2021-08-17,13.0431805555556,8.11665277777778
"64","mg2",2021-08-18,9.50664583333333,8.80922222222222
"65","mg2",2021-08-19,9.46018055555555,8.85221527777778
"66","mg2",2021-08-20,9.97895833333333,8.78382638888889
"67","mg2",2021-08-21,9.98739583333333,8.70597916666667
"68","mg2",2021-08-22,9.04201388888889,9.0371875
"69","mg2",2021-08-23,9.45971527777778,8.98613888888889
"70","mg2",2021-08-24,9.47088194444444,8.83485416666667
"71","mg2",2021-08-25,9.51661111111111,8.89257638888889
"72","mg2",2021-08-26,9.62207638888889,8.93915277777778
"73","mg2",2021-08-27,9.47625,8.91191666666667
"74","mg2",2021-08-28,9.61917361111111,8.91684722222222
"75","mg2",2021-08-29,10.3845,8.65540277777778
"76","mg2",2021-08-30,10.9505625,8.5243125
"77","mg2",2021-08-31,10.1367777777778,8.66732638888889
"78","mg2",2021-09-01,9.04593055555556,8.92259027777778
"79","mg2",2021-09-02,8.65472222222222,9.06739583333333
"80","mg2",2021-09-03,8.16902777777778,9.33190972222222
"81","mg2",2021-09-04,8.9159375,9.169375
"82","mg2",2021-09-05,9.81467361111111,8.85503472222222
"83","mg2",2021-09-06,10.3167569444444,8.7359375
"84","mg2",2021-09-07,11.1197222222222,8.600625
"85","mg2",2021-09-08,11.8100347222222,8.39846527777778
"86","mg2",2021-09-09,12.52775,8.23072222222222
"87","mg2",2021-09-10,12.1522638888889,8.050375
"88","mg2",2021-09-11,10.4577361111111,8.58019444444444
"89","mg2",2021-09-12,10.3100833333333,8.57841666666667
"90","mg2",2021-09-13,9.70375,8.73194444444444
"91","mg2",2021-09-14,8.77597916666667,8.97015972222222
"92","mg2",2021-09-15,9.15419444444444,8.90672222222222
"93","mg2",2021-09-16,8.4181875,9.0574375
"94","mg2",2021-09-17,8.52404861111111,9.0755625
"95","mg2",2021-09-18,9.26132638888889,8.75102083333333
"96","mg2",2021-09-19,7.70072222222222,9.13506944444444
"97","mg2",2021-09-20,5.60590277777778,9.828625
"98","mg2",2021-09-21,6.41002777777778,9.62447222222222
"99","mg2",2021-09-22,8.87548611111111,8.97741666666667
"100","mg2",2021-09-23,7.51881944444444,9.31054861111111
"101","mg2",2021-09-24,7.43074305555556,9.30359027777778
"102","mg2",2021-09-25,8.28872916666667,9.09602083333333
"103","mg2",2021-09-26,8.91190972222222,8.97013888888889
"104","mg2",2021-09-27,8.14221527777778,9.09356944444444
"105","mg2",2021-09-28,5.50522916666667,9.40390972222222
"106","mg2",2021-09-29,3.81943055555556,10.0661180555556
"107","mg2",2021-09-30,4.18846527777778,9.99538194444444
"108","mg2",2021-10-01,4.78204166666667,9.8436875
"109","mg2",2021-10-02,5.38452777777778,9.687375
"110","mg2",2021-10-03,6.15725,9.454625
"111","mg2",2021-10-04,6.77630555555556,9.30484027777778
"112","mg2",2021-10-05,7.25848611111111,9.1244375
"113","mg2",2021-10-06,6.96220833333333,9.12579166666667
"114","mg2",2021-10-07,5.75730555555556,9.40529861111111
"115","mg2",2021-10-08,5.24593055555556,9.53797222222222
