date,trip_number,site_id,latitude,longitude,depth_cm,net_width_cm,velocity_fps,time_in,time_out,vial_id,notes
7/19/2021,3,MG1,41.54444,119.03092,9.1,26.2,1.26,12:02,13:58,MG1-3,Net placed between max depth and RCT
7/19/2021,3,MG2,41.54489,119.01041,12.9,22.6,0.90,13:19,2:02,MG2-3,Net placed just US of plank
7/19/2021,3,MG3,41.53177,118.99426,9.8,23.2,0.89,8:54,10:47,MG3-3,1 meter DS of logger
7/19/2021,3,MG4,41.53307,118.99085,5.5,26.0,1.30,8:37,10:19,MG4-3,Diurnal increase in Discharge
7/20/2021,3,MG5,41.51708,118.95757,6.9,26.4,1.28,12:57,14:52,MG5-3,Placed just US of creek ford
7/20/2021,3,SC1,41.52543,118.98546,7.1,24.8,0.67,9:42,11:32,SC1-3,1 meter US of barbed wire
7/20/2021,3,SC2,41.50257,118.97894,11.0,23.0,2.18,16:55,18:42,SC2-3,4 meters US of logger
8/18/2021,6,MG1,41.54444,119.03092,22.2,9.0,1.09,12:10:00,14:20:00,MG1-6,
8/18/2021,6,MG2,41.54489,119.01041,21.2,16.8,0.80,13:18:00,15:34:00,MG2-6,
8/18/2021,6,MG3,41.53177,118.99426,26.0,10.0,0.56,8:40:00,19:34:00,MG3-6,
8/18/2021,6,MG4,41.53307,118.99085,0.0,0.0,0.00,na,na,na,dry
8/19/2021,6,MG5,41.51708,118.95757,27.4,10.9,0.32,12:18:00,14:35:00,MG5-6,
8/19/2021,6,SC1,41.52543,118.98546,27.6,7.1,0.58,9:35:00,11:54:00,SC1-6,
8/18/2021,6,SC2,41.50257,118.97894,23.5,8.6,1.18,16:14:00,18:00:00,SC2-6,
9/4/2021,7,MG1,41.54444,119.03092,9.8,24.0,0.45,12:12,14:24:00,MG1-7,
9/4/2021,7,MG2,41.54489,119.01041,15.5,22.0,0.64,13:15:00,15:15:00,MG2-7,heavy macrophyte growth + chl-a
9/5/2021,7,MG3,41.53177,118.99426,5.6,26.1,0.48,8:42:00,10:34:00,MG3-7,
9/4/2021,7,MG4,41.53307,118.99085,0.0,0.0,0.00,na,na,na,dry
9/5/2021,7,MG5,41.51708,118.95757,6.8,24.6,0.20,12:12:00,14:00:00,MG5-7,est velocity
9/5/2021,7,SC1,41.52543,118.98546,7.5,25.8,0.68,9:37:00,11:27:00,SC1-7,
9/4/2021,7,SC2,41.50257,118.97894,8.6,23.6,1.55,16:07:00,18:05:00,SC2-7,car crossed the creek
