"";"date";"site_id";"terrestrial_aquatic";"latitude";"longitude";"net_depth_cm";"net_width_cm";"velocity_fps";"total_time";"invert_mass_mg";"invertMass_m3"
"1";2021-07-20;"mg1";"aquatic";41,54444;119,03092;9,1;26,2;1,26;1,933333333;0,134;0,000210275444865905
"2";2021-07-20;"mg1";"terrestrial";41,54444;119,03092;9,1;26,2;1,26;1,933333333;0;0
"3";2021-07-20;"mg2";"terrestrial";41,54489;119,01041;12,9;22,6;0,9;0,7166666667;0,167;0,00080939839088851
"4";2021-07-20;"mg2";"aquatic";41,54489;119,01041;12,9;22,6;0,9;0,7166666667;0,741;0,0035914024410083
"5";2021-07-19;"mg3";"terrestrial";41,53177;118,99426;9,8;23,2;0,89;1,883333333;1,962;0,00469214551733992
"6";2021-07-19;"mg3";"aquatic";41,53177;118,99426;9,8;23,2;0,89;1,883333333;1,559;0,00372836639221862
"7";2021-07-19;"mg4";"aquatic";41,53307;118,99085;5,5;26;1,3;1,7;0,99;0,00285502958579882
"8";2021-07-19;"mg4";"terrestrial";41,53307;118,99085;5,5;26;1,3;1,7;0,607;0,00175050803896958
"9";2021-07-19;"mg5";"aquatic";41,51708;118,95757;6,9;26,4;1,28;1,916666667;0,133;0,000271235039581949
"10";2021-07-19;"mg5";"terrestrial";41,51708;118,95757;6,9;26,4;1,28;1,916666667;0,525;0,00107066462992875
"11";2021-07-19;"sc1";"aquatic";41,52543;118,98546;7,1;24,8;0,67;1,833333333;7,875;0,0331839457824999
"12";2021-07-19;"sc1";"terrestrial";41,52543;118,98546;7,1;24,8;0,67;1,833333333;0,597;0,00251565912789238
"13";2021-07-20;"sc2";"aquatic";41,50257;118,97894;11;23;2,18;1,783333333;8,206;0,00760371272107103
"14";2021-07-20;"sc2";"terrestrial";41,50257;118,97894;11;23;2,18;1,783333333;0,631;0,000584687146843264
"15";2021-08-18;"mg1";"terrestrial";41,54444;119,03092;22,2;9;1,09;2,166666667;1,198;0,00231391000468552
"16";2021-08-18;"mg1";"aquatic";41,54444;119,03092;22,2;9;1,09;2,166666667;1,146;0,00221347317643539
"17";2021-08-18;"mg2";"terrestrial";41,54489;119,01041;21,2;16,8;0,8;2,266666667;2,33;0,00328803826415408
"18";2021-08-18;"mg2";"aquatic";41,54489;119,01041;21,2;16,8;0,8;2,266666667;2,599;0,0036676443985135
"19";2021-08-18;"mg3";"terrestrial";41,53177;118,99426;26;10;0,56;0,9;2,689;0,0187021117385701
"20";2021-08-18;"mg3";"aquatic";41,53177;118,99426;26;10;0,56;0,9;0,093;0,000646819037444038
"22";2021-08-19;"mg5";"terrestrial";41,51708;118,95757;27,4;10,9;0,32;2,283333333;0,554;0,00231375376553359
"23";2021-08-19;"mg5";"aquatic";41,51708;118,95757;27,4;10,9;0,32;2,283333333;0,285;0,0011902884894893
"24";2021-08-19;"sc1";"aquatic";41,52543;118,98546;27,6;7,1;0,58;2,316666667;0,574;0,00198681142056499
"25";2021-08-19;"sc1";"terrestrial";41,52543;118,98546;27,6;7,1;0,58;2,316666667;0,426;0,00147453251770154
"27";2021-09-04;"mg1";"aquatic";41,54444;119,03092;9,8;24;0,45;2,2;0,642;0,0025128481527291
"28";2021-09-04;"mg1";"terrestrial";41,54444;119,03092;9,8;24;0,45;2,2;0,487;0,00190616362987395
"29";2021-09-04;"mg2";"aquatic";41,54489;119,01041;15,5;22;0,64;2;0,002;4,17608545128706e-06
"30";2021-09-05;"mg3";"terrestrial";41,53177;118,99426;5,6;26,1;0,48;1,866666667;2,462;0,0171338607950112
"31";2021-09-05;"mg3";"aquatic";41,53177;118,99426;5,6;26,1;0,48;1,866666667;1,5;0,0104389891115016
"33";2021-09-05;"mg5";"terrestrial";41,51708;118,95757;6,8;24,6;0,2;1,8;0,249;0,00376839619090635
"34";2021-09-05;"mg5";"aquatic";41,51708;118,95757;6,8;24,6;0,2;1,8;0,098;0,00148314388236475
"35";2021-09-05;"sc1";"aquatic";41,52543;118,98546;7,5;25,8;0,68;1,833333333;45,503;0,171914474230615
"36";2021-09-04;"sc2";"aquatic";41,50257;118,97894;8,6;23,6;1,55;1,966666667;0,264;0,000388897138036479
"37";2022-08-16;"mg2";"aquatic";41,54489;119,01041;9,6;25,6;0,701;1,1;4,035;0,0194055236817286
"38";2022-08-16;"mg3";"terrestrial";41,53177;118,99426;6,5;25;0,652;1,866666667;3,53;0,0162671211683574
"39";2022-08-16;"mg3";"aquatic";41,53177;118,99426;6,5;25;0,652;1,866666667;0,003;1,38247488682924e-05
"40";2022-08-16;"mg4";"terrestrial";41,53307;118,99085;4,2;25;0,25;1,366666667;1,41;0,0358204413385339
"41";2022-08-16;"mg4";"aquatic";41,53307;118,99085;4,2;25;0,25;1,366666667;0,22;0,0055890050315443
"42";2022-08-17;"mg5";"aquatic";41,51708;118,95757;10,9;26;0,577;1,35;3,462;0,0142929332531779
"43";2022-08-17;"sc1";"terrestrial";41,52543;118,98546;8,7;28,6;1,175;1,133333333;2,942;0,00809218091187571
"44";2022-08-17;"sc1";"aquatic";41,52543;118,98546;8,7;28,6;1,175;1,133333333;0,264;0,000726150836415767
"45";2022-08-17;"sc2";"aquatic";41,50257;118,97894;9,4;22,3;1,761;1,966666667;4,293;0,00538941700682717
"46";2022-08-17;"sc2";"terrestrial";41,50257;118,97894;9,4;22,3;1,761;1,966666667;0,512;0,000642762988002681
"47";2022-08-17;"sc2";"terrestrial";41,50257;118,97894;9,4;22,3;1,761;1,966666667;4,803;0,00602966920190796
"48";2022-08-17;"sc2";"aquatic";41,50257;118,97894;9,4;22,3;1,761;1,966666667;0,036;4,51942725939385e-05
"49";2022-09-07;"mg2";"terrestrial";41,54489;119,01041;8,6;26,3;0,924;1,166666667;3,49;0,0130453638289362
"50";2022-09-07;"mg2";"aquatic";41,54489;119,01041;8,6;26,3;0,924;1,166666667;2,926;0,0109371732273545
"51";2022-09-07;"mg3";"terrestrial";41,53177;118,99426;4,5;23,3;0,756;1,666666667;1,676;0,011562154381333
"52";2022-09-07;"mg3";"aquatic";41,53177;118,99426;4,5;23,3;0,756;1,666666667;0,646;0,00445653444531092
"55";2022-09-07;"sc1";"aquatic";41,52543;118,98546;6,3;28,6;1,563;1,05;0,157;0,000483892089371987
"56";2022-09-07;"sc2";"aquatic";41,50257;118,97894;11,2;22;0,7408;1,116666667;3,047;0,0136241982397111
