weight_packet_number,sample_date,sample_year,sample_location,terrestrial_aquatic,packet_weight_mg,dry_weight_mg,invert_mass_mg,notes
1,7/19/2021,2021,mg3,terrestrial,231.529,233.491,1.962,
2,7/19/2021,2021,mg3,aquatic,241.414,242.973,1.559,
3,9/4/2021,2021,sc2,aquatic,182.493,182.757,0.264,
4,9/4/2021,2021,mg2,aquatic,170.725,170.727,0.002,
5,8/16/2022,2022,mg2,aquatic,216.904,220.939,4.035,
6,8/16/2022,2022,mg3,terrestrial,154.763,158.293,3.530,
7,8/16/2022,2022,mg3,aquatic,155.257,155.260,0.003,
8,9/7/2022,2022,mg3,terrestrial,199.567,201.243,1.676,
9,9/7/2022,2022,mg3,aquatic,276.670,277.316,0.646,
10,8/17/2022,2022,mg5,aquatic,278.436,281.898,3.462,
11,8/18/2021,2021,mg2,terrestrial,267.376,269.706,2.330,
12,8/18/2021,2021,mg2,aquatic,277.681,280.280,2.599,
13,8/17/2022,2022,sc2,aquatic,273.244,277.537,4.293,
14,8/17/2022,2022,sc2,terrestrial,272.846,273.358,0.512,
15,7/19/2021,2021,sc1,aquatic,270.030,277.905,7.875,
16,7/19/2021,2021,sc1,terrestrial,270.446,271.043,0.597,
17,9/7/2022,2022,mg2,terrestrial,271.614,275.104,3.490,
18,9/7/2022,2022,mg2,aquatic,265.893,268.819,2.926,
19,8/18/2021,2021,mg3,terrestrial,260.533,263.222,2.689,
20,8/18/2021,2021,mg3,aquatic,259.062,259.155,0.093,
21,8/16/2022,2022,mg4,terrestrial,277.171,278.581,1.410,
22,8/16/2022,2022,mg4,aquatic,268.901,269.121,0.220,
23,8/17/2022,2022,sc1,terrestrial,249.401,252.343,2.942,
24,8/17/2022,2022,sc1,aquatic,265.631,265.895,0.264,
25,8/18/2022,2022,sc2,terrestrial,197.337,202.140,4.803,
26,8/18/2022,2022,sc2,aquatic,206.327,206.363,0.036,
27,9/7/2022,2022,sc1,aquatic,203.054,203.211,0.157,
28,8/19/2021,2021,sc1,aquatic,297.589,298.163,0.574,
29,8/19/2021,2021,sc1,terrestrial,285.209,285.635,0.426,
30,7/19/2021,2021,mg5,aquatic,309.395,309.528,0.133,
31,7/19/2021,2021,mg5,terrestrial,283.221,283.746,0.525,
32,8/18/2021,2021,mg1,terrestrial,295.740,296.938,1.198,
33,8/18/2021,2021,mg1,aquatic,274.677,275.823,1.146,
34,9/7/2022,2022,sc2,aquatic,295.270,298.317,3.047,
35,9/5/2021,2021,mg5,terrestrial,302.338,302.587,0.249,very light
36,9/5/2021,2021,mg5,aquatic,293.208,293.306,0.098,very light
37,8/19/2021,2021,mg5,terrestrial,284.961,285.515,0.554,
38,8/19/2021,2021,mg5,aquatic,289.615,289.900,0.285,
39,7/20/2021,2021,mg1,aquatic,288.656,288.790,0.134,
40,7/20/2021,2021,mg1,terrestrial,261.199,261.199,0.000,very light
41,7/19/2021,2021,mg4,aquatic,259.296,260.286,0.990,
42,7/19/2021,2021,mg4,terrestrial,255.247,255.854,0.607,
43,7/20/2021,2021,sc2,aquatic,232.278,240.484,8.206,massive rhyacophilidae in sample; ~50 1mm margaritifera spp present
44,7/20/2021,2021,sc2,terrestrial,242.219,242.850,0.631,
45,9/4/2021,2021,mg1,aquatic,232.763,233.405,0.642,
46,9/4/2021,2021,mg1,terrestrial,235.124,235.611,0.487,
47,9/5/2021,2021,mg3,terrestrial,229.006,231.468,2.462,
48,9/5/2021,2021,mg3,aquatic,261.846,263.346,1.500,
49,7/20/2021,2021,mg2,terrestrial,264.595,264.762,0.167,
50,7/20/2021,2021,mg2,aquatic,251.487,252.228,0.741,
51,9/5/2021,2021,sc1,aquatic,269.642,315.145,45.503,"1 massive limnephilidae in sample, that's it"
52,,,,,174.161,,,
53,,,,,174.935,,,
54,,,,,176.553,,,
55,,,,,172.229,,,
56,,,,,168.222,,,
57,,,,,174.778,,,
58,,,,,174.707,,,
59,,,,,176.280,,,
60,,,,,242.154,,,
