date,trip_number,tag_id,latitude,longitude,signal_strength,gain,notes
6/22/2021,0,11,41.53177,-118.99426,na,na,Tagging event
6/29/2021,1,11,41.53172,-118.99395,231,30,in small plunge pool
7/6/2021,2,11,41.53173,-118.99396,231,20,"Same location, small pool under willow thicket"
na,3,11,na,na,na,na,
na,4,11,na,na,na,na,
na,5,11,na,na,na,na,
na,6,11,na,na,na,na,
na,7,11,na,na,na,na,
na,8,11,na,na,na,na,
6/22/2021,0,12,41.52709,-118.98565,na,na,Tagging event
6/29/2021,1,12,41.52695,-118.98557,243,20,found in willow roots; fish observed
7/6/2021,2,12,41.52699,-118.98556,232,25,"Same location, US of creek ford"
7/19/2021,3,12,41.52697,-118.98560,241,20,"Fish observed alive, same location"
na,4,12,na,na,na,na,
na,5,12,na,na,na,na,
na,6,12,na,na,na,na,
na,7,12,na,na,na,na,
na,8,12,na,na,na,na,
6/23/2021,0,13,41.50296,-118.97895,na,na,Tagging event
6/30/2021,1,13,41.50290,-118.97894,244,20,in plunge pool below live log
7/7/2021,2,13,41.50550,-118.98013,217,20,"In long riffle in debris pile, inconsistent reading"
7/20/2021,3,13,41.51041,-118.98359,193,33,"tag acting funny (tag drift, altitude?) found in debris pile"
7/28/2021,4,13,41.51036,-118.98363,176,30,Seen in Willows
8/13/2021,5,13,41.50872,-118.98218,199,35,"below plunge pool, moved US from previous week"
8/18/2021,6,13,41.50911,-118.98270,201,30,under riparian vegetation; seen
9/4/2021,7,13,41.51031,-118.98336,153,50,bad signal
9/18/2021,8,13,41.51030,-118.98368,157,35,same; observed alive
6/23/2021,0,15,41.50293,-118.97897,na,na,Tagging event
6/30/2021,1,15,41.50304,-118.97906,235,20,in riffle with overhanging riparian vegetation; live fish observed
7/7/2021,2,15,41.50314,-118.97910,236,20,"undercut bank, shallow pool, LWD"
7/20/2021,3,15,41.50307,-118.97906,223,30,"in riffle, fish recorded moving"
7/28/2021,4,15,41.50306,-118.97906,226,20,"in riffle, moving"
8/13/2021,5,15,41.50300,-118.97902,235,20,in small pool
8/18/2021,6,15,41.50306,-118.97903,232,20,
9/4/2021,7,15,41.50297,-118.97899,231,20,
na,8,15,na,na,na,na,
6/24/2021,0,16,41.51601,-118.95726,na,na,Tagging event
6/30/2021,1,16,na,na,na,na,MISSING
na,2,16,na,na,na,na,
na,3,16,na,na,na,na,
na,4,16,na,na,na,na,
na,5,16,na,na,na,na,
na,6,16,na,na,na,na,
na,7,16,na,na,na,na,
na,8,16,na,na,na,na,
6/24/2021,0,17,41.51586,-118.95721,na,na,Tagging event
6/29/2021,1,17,41.51582,-118.95726,244,20,in pool @ bend in creek; undercut bank
7/7/2021,2,17,41.51582,-118.95726,227,20,"Same location, bend in creek, pool, willows"
7/19/2021,3,17,41.51582,-118.95726,232,20,"Same location, observed alive, @ bend in creek"
7/28/2021,4,17,41.51582,-118.95726,227,20,Same location
8/12/2021,5,17,41.51582,-118.95726,218,20,same location; upper mahogany
8/19/2021,6,17,41.51582,-118.95726,202,20,
9/5/2021,7,17,41.51582,-118.95726,250,20,"same, hiding in live in channel tree"
9/18/2021,8,17,41.51582,-118.95722,228,25,@ bend in creek
6/23/2021,0,18,41.50279,-118.97889,na,na,Tagging event
6/30/2021,1,18,41.50283,-118.97885,240,20,Same location as when tagged; elevation 2143m
7/7/2021,2,18,41.50288,-118.97883,243,20,moved US one pool
7/20/2021,3,18,41.50281,-118.97882,229,20,"Same location, in head of pool"
7/28/2021,4,18,41.50284,-118.97884,224,20,"Same location, alive, undercut bank, willows"
8/13/2021,5,18,41.50281,-118.97886,236,20,seen with 3 other fish in pool
na,6,18,na,na,na,na,
9/4/2021,7,18,41.50290,-118.97883,238,20,same; heavy grazing in SC2 area
na,8,18,na,na,na,na,
6/24/2021,0,19,41.51348,-118.95605,na,na,Tagging event
6/29/2021,1,19,41.51349,-118.95596,244,20,Same location as when tagged; under SWD in pool
na,2,19,na,na,na,na,
na,3,19,na,na,na,na,
