,stream,reach,seq_order,channel_type,easting,northing,unit_length_m,wetted_width_m,max_depth_m,pool_crest_depth_bf_m,LWD_small,LWD_med,LWD_large,root_debris,riparian_shade,total_shade,fish_present,undercut_LB_m,undercut_RB_m,sand,gravel,cobble,boulder,bedrock,dominantSizeClass_LB,dominantSizeClass_RB,understoryVeg_NV_LB,understoryVeg_GF_LB,understoryVeg_SR_LB,understoryVeg_NV_RB,understoryVeg_GF_RB,understoryVeg_SR_RB,overstoryVeg_SB_LB,overstoryVeg_HW_LB,overstoryVeg_HQ_LB,overstoryVeg_WS_LB,overstoryVeg_SB_RB,overstoryVeg_HW_RB,overstoryVeg_HQ_RB,overstoryVeg_WS_RB
1,Mahogany Creek,MC1-116,1,SSLS1,4600052,329023,3.6,1.6,0.27,0.41,0,0,0,0,23,23,Y,3.5,0,60,40,0,0,0,SS,GF,4,30,66,1,19,80,10,0,0,0,0,0,0,0
2,Mahogany Creek,MC1-116,2,FNRN1,4600051,329021,3.05,1.6,0.17,NA,0,0,0,0,5,5,Y,0,0,70,30,0,0,0,SS,GF,7,53,40,1,19,80,8,0,0,0,0,0,0,0
3,Mahogany Creek,MC1-116,3,SSMC2,4600052,329020,3.1,0.8,0.27,0.45,0,0,0,0,13,13,N,0,1.4,70,30,0,0,0,SS,GF,10,30,60,1,14,85,0,0,0,0,0,0,0,0
4,Mahogany Creek,MC1-116,4,FNRN2,4600056,329020,10.4,0.68,0.23,NA,0,0,0,0,3,3,N,3.75,0,60,40,0,0,0,SS,GF,15,30,55,1,20,79,10,0,0,0,0,0,0,0
5,Mahogany Creek,MC1-116,4,FNRN2,4600056,329020,10.4,0.68,0.23,NA,0,0,0,0,3,3,N,3.75,0,60,40,0,0,0,SS,GF,15,30,55,1,20,79,10,0,0,0,0,0,0,0
6,Mahogany Creek,MC1-116,4,FNRN2,4600056,329020,10.4,0.68,0.23,NA,0,0,0,0,3,3,N,3.75,0,60,40,0,0,0,SS,GF,15,30,55,1,20,79,10,0,0,0,0,0,0,0
7,Mahogany Creek,MC1-116,4,FNRN2,4600056,329020,10.4,0.68,0.23,NA,0,0,0,0,3,3,N,3.75,0,60,40,0,0,0,SS,GF,15,30,55,1,20,79,10,0,0,0,0,0,0,0
8,Mahogany Creek,MC1-116,4,FNRN2,4600056,329020,10.4,0.68,0.23,NA,0,0,0,0,3,3,N,3.75,0,60,40,0,0,0,SS,GF,15,30,55,1,20,79,10,0,0,0,0,0,0,0
9,Mahogany Creek,MC1-116,5,FTRF3,4600065,329030,3,1.3,0.17,NA,0,0,0,0,18,18,N,0,0.36,50,45,5,0,0,SS,GF,10,15,75,1,59,40,5,0,0,0,0,0,0,0
10,Mahogany Creek,MC1-116,5,FTRF3,4600065,329030,3,1.3,0.17,NA,0,0,0,0,18,18,N,0,0.36,50,45,5,0,0,SS,GF,10,15,75,1,59,40,5,0,0,0,0,0,0,0
11,Mahogany Creek,MC1-116,6,FNRN4,4600064,329034,11.5,0.91,0.27,NA,0,0,0,0,24,24,N,0,1.63,60,38,2,0,0,GF,GF,10,15,75,3,87,10,0,0,0,0,0,0,0,0
12,Mahogany Creek,MC1-116,7,FTRF5,4600057,329037,1.8,1.09,0.31,NA,0,0,0,0,7,7,N,0.45,0,50,45,5,0,0,GF,GF,5,45,50,0,30,70,1,0,0,0,0,0,0,0
13,Mahogany Creek,MC1-116,8,SSLS3,4600054,329037,1.2,0.98,0.22,0.25,0,0,0,0,23,23,N,1.3,0,65,33,2,0,0,SS,GF,25,40,35,2,85,13,30,0,0,0,0,0,0,0
14,Mahogany Creek,MC1-116,9,FNRN6,4600055,329037,9.7,1.29,0.26,NA,0,0,0,0,17,17,N,8.5,0,70,30,0,0,0,SS,GF,25,45,30,0,90,10,35,0,0,0,0,0,0,0
15,Mahogany Creek,MC1-116,10,SSLS4,4600060,329043,2.8,0.94,0.46,0.32,0,0,0,0,15,15,N,0,2.5,70,28,2,0,0,SS,GF,1,55,44,0,95,5,0,0,0,0,0,0,0,0
16,Mahogany Creek,MC1-116,11,FNRN7,4600062,329040,16.6,0.79,0.37,NA,0,0,0,0,25,25,N,3.5,2,55,45,0,0,0,SS,GF,1,39,60,2,78,20,0,0,0,0,0,0,0,0
17,Mahogany Creek,MC1-116,12,SSLS5,4600071,329042,4.1,1.82,0.37,0.34,0,0,0,0,29,29,N,6.5,0,70,30,0,0,0,SS,GF,0,85,15,1,65,34,0,0,0,0,0,0,0,0
