fid,cat,field_1,X,stream,reach,seq_order,channel_ty,latitude,longitude,unit_lengt,wetted_wid,max_depth_,pool_crest,LWD_small,LWD_med,LWD_large,root_debri,riparian_s,total_shad,fish_prese,undercut_L,undercut_R,sand,gravel,cobble,boulder,bedrock,dominantSi,dominant_1,understory,understo_1,understo_2,understo_3,understo_4,understo_5,overstoryV,overstor_1,overstor_2,overstor_3,overstor_4,overstor_5,overstor_6,overstor_7,riverDist
"1","1","1","1",Mahogany Creek,MC1-116,"1",SSLS1,41.5338646436792,-119.049556610072,"3.6","1.6","0.27","0.41","0","0","0","0","23","23",Y,"3.5","0","60","40","0","0","0",SS,GF,"4","30","66","1","19","80","10","0","0","0","0","0","0","0",1701.77190319349
"2","2","2","2",Mahogany Creek,MC1-116,"2",FNRN1,41.5338552148522,-119.0495802857,"3.05","1.6","0.17",NA,"0","0","0","0","5","5",Y,"0","0","70","30","0","0","0",SS,GF,"7","53","40","1","19","80","8","0","0","0","0","0","0","0",1699.50770075684
"3","3","3","3",Mahogany Creek,MC1-116,"3",SSMC2,41.5338640028765,-119.049592549927,"3.1","0.8","0.27","0.45","0","0","0","0","13","13",N,"0","1.4","70","30","0","0","0",SS,GF,"10","30","60","1","14","85","0","0","0","0","0","0","0","0",1698.84770836083
"4","4","4","4",Mahogany Creek,MC1-116,"4",FNRN2,41.5339000093817,-119.049593687034,"10.4","0.68","0.23",NA,"0","0","0","0","3","3",N,"3.75","0","60","40","0","0","0",SS,GF,"15","30","55","1","20","79","10","0","0","0","0","0","0","0",1700.106603703
"5","5","5","5",Mahogany Creek,MC1-116,"4",FNRN2,41.5339000093817,-119.049593687034,"10.4","0.68","0.23",NA,"0","0","0","0","3","3",N,"3.75","0","60","40","0","0","0",SS,GF,"15","30","55","1","20","79","10","0","0","0","0","0","0","0",1700.106603703
"6","6","6","6",Mahogany Creek,MC1-116,"4",FNRN2,41.5339000093817,-119.049593687034,"10.4","0.68","0.23",NA,"0","0","0","0","3","3",N,"3.75","0","60","40","0","0","0",SS,GF,"15","30","55","1","20","79","10","0","0","0","0","0","0","0",1700.106603703
"7","7","7","7",Mahogany Creek,MC1-116,"4",FNRN2,41.5339000093817,-119.049593687034,"10.4","0.68","0.23",NA,"0","0","0","0","3","3",N,"3.75","0","60","40","0","0","0",SS,GF,"15","30","55","1","20","79","10","0","0","0","0","0","0","0",1700.106603703
"8","8","8","8",Mahogany Creek,MC1-116,"4",FNRN2,41.5339000093817,-119.049593687034,"10.4","0.68","0.23",NA,"0","0","0","0","3","3",N,"3.75","0","60","40","0","0","0",SS,GF,"15","30","55","1","20","79","10","0","0","0","0","0","0","0",1700.106603703
"9","9","9","9",Mahogany Creek,MC1-116,"5",FTRF3,41.5339831599916,-119.049476445795,"3","1.3","0.17",NA,"0","0","0","0","18","18",N,"0","0.36","50","45","5","0","0",SS,GF,"10","15","75","1","59","40","5","0","0","0","0","0","0","0",1712.68644972867
"10","10","10","10",Mahogany Creek,MC1-116,"5",FTRF3,41.5339831599916,-119.049476445795,"3","1.3","0.17",NA,"0","0","0","0","18","18",N,"0","0.36","50","45","5","0","0",SS,GF,"10","15","75","1","59","40","5","0","0","0","0","0","0","0",1712.68644972867
